arm,mode,region,lead_days,velocity_second_moment_ratio,velocity_normalized_rmse,ssh_physical_rmse,sst_physical_rmse,fixed_oracle_ts_rmse,fixed_oracle_rmse_gap_closed_pct
C,inferred,tropics,25,0.8944958868431951,0.5287317209647999,0.018150307780778085,0.3958922485680511,0.038964144024329454,16.689364822865144
C,inferred,tropics,30,0.8980533876859859,0.537409991443895,0.019325484239056563,0.4212735866740413,0.042145340090050255,18.503495949817204
C,inferred,extratropics,5,0.9252141766575944,0.4308977328670782,0.025121695639534782,0.3031640004517275,0.019060527263926187,4.928031395192545
C,inferred,extratropics,10,0.9204249759698799,0.454147374177129,0.027745274290942815,0.36974661776963474,0.024807759578743357,6.16378991847948
C,inferred,extratropics,15,0.9225152194499566,0.47792111395425796,0.030751193886605663,0.42849619545909,0.03045964382093733,7.859152245130998
C,inferred,extratropics,20,0.9215517834498311,0.5001003067382086,0.03276285691506706,0.47099500553855284,0.03478859726988819,9.087485515889828
C,inferred,extratropics,25,0.9231640895858485,0.5194592547325332,0.03427073410395954,0.5086146435690357,0.03884760346712425,10.340842861122052
C,inferred,extratropics,30,0.9220376488729022,0.5375291428625062,0.03627737178148688,0.5444711122001605,0.042377570737944945,11.347621676013524
D,inferred,global,5,0.9140902896832458,0.45690018006879024,0.021176743260189847,0.28217883888352285,0.019210320833072884,5.683607173575254
D,inferred,global,10,0.9050905423982959,0.47284546827179663,0.02357592861181218,0.3441006112234842,0.025075919856276524,7.261694465924845
D,inferred,global,15,0.9047436816631338,0.4895870029827202,0.026265813795926907,0.39781922813337856,0.03071652603243807,9.373881653098698
D,inferred,global,20,0.9047298857883753,0.5064050348328444,0.028113149982507232,0.4375853855995573,0.03495350292338484,10.908819699216238
D,inferred,global,25,0.9057261549710671,0.5214742767709358,0.0294509779195567,0.47204270487960265,0.03884485170881658,12.495149608707235
D,inferred,global,30,0.9071276114612309,0.5359395634060748,0.03118728129140005,0.504369931901195,0.04224222808205065,13.761081027512802
D,inferred,tropics,5,0.9054950840959365,0.4993162985826305,0.011455285018610699,0.24102038367903958,0.01952611093692313,6.8262599651263995
D,inferred,tropics,10,0.8924806510624581,0.505004742952449,0.01361825321556023,0.2934348427331544,0.02561090487847409,9.168793716621552
D,inferred,tropics,15,0.8895553578421082,0.511312361536346,0.015709215866298747,0.3363454519004732,0.031249325973887715,12.179988702579104
D,inferred,tropics,20,0.8899508768917271,0.5199207400388236,0.01730628195689341,0.3707570731380767,0.03534441770244866,14.422756566625416
D,inferred,tropics,25,0.889874334551815,0.5283397985137012,0.018318675942817594,0.3977971153343383,0.038964144024329454,16.747321911576567
D,inferred,tropics,30,0.8930632024639761,0.5371197084916338,0.019514246017590366,0.4229638230546277,0.042145340090050255,18.628184469244847
D,inferred,extratropics,5,0.9239474900500939,0.4306247222874776,0.02512969678757037,0.30339808691236386,0.019060527263926187,5.082927904672281
D,inferred,extratropics,10,0.9195222745777483,0.45395069269836774,0.027740445674135784,0.37019393638373377,0.024807759578743357,6.3130391125587915
D,inferred,extratropics,15,0.922174036753487,0.47780963795061154,0.030750226257376147,0.4293040272111685,0.03045964382093733,8.032841982484461
D,inferred,extratropics,20,0.921613317098687,0.5000492621667968,0.03276541840954828,0.4718595766798831,0.03478859726988819,9.273816904955122
D,inferred,extratropics,25,0.923798163870998,0.5194267264280255,0.03426673436164387,0.5099892430848345,0.03884760346712425,10.556750697221181
D,inferred,extratropics,30,0.92308841584254,0.5374827003366517,0.036251177814320384,0.5458464269007381,0.042377570737944945,11.57765839489963
E,inferred,global,5,0.9141996215115793,0.46433088911387815,0.021342369709780082,0.28154911058391,0.019210320833072884,5.652391900201699
E,inferred,global,10,0.9060355115185419,0.4777733111896628,0.023677961783639668,0.3407215669715162,0.025075919856276524,7.505050239870094
E,inferred,global,15,0.9062088229574564,0.49255695035174146,0.026444936449689923,0.39472049260818226,0.03071652603243807,9.89015080614771
E,inferred,global,20,0.9068526855734349,0.5077465047093571,0.028312105696609555,0.43401171386738413,0.03495350292338484,11.512605941137561
E,inferred,global,25,0.9083080787042437,0.5212146190636866,0.029820872888099415,0.4685182671319491,0.03884485170881658,13.145297959718574
E,inferred,global,30,0.910420660990045,0.534015379541421,0.03160518471487334,0.5006970032241637,0.04224222808205065,14.383486554057985
E,inferred,tropics,5,0.9044211380109299,0.5065632569174141,0.011546213641374809,0.24060005098117868,0.01952611093692313,6.8963589937179846
