reference,candidate,region,lead_days,variable,origins,years,bootstrap_draws,reference_rmse,candidate_rmse,candidate_minus_reference_rmse,difference_ci_low,difference_ci_high,rmse_reduction_percent,reduction_ci_low,reduction_ci_high
A,D,global,5,uo,99,9,4000,0.4704053625494993,0.4172010262380409,-0.05320433631145838,-0.055625865670534076,-0.05099428322722664,11.3103167070847,10.916891704923678,11.737077498321266
A,D,global,5,vo,99,9,4000,0.47583651154621226,0.43651802908019816,-0.039318482466014104,-0.040731567525665924,-0.03803745178178452,8.263023435980188,8.036547778696566,8.504480539988867
A,D,global,5,zos,99,9,4000,0.03115480756261557,0.030260101038342965,-0.0008947065242726031,-0.0010719150936039528,-0.0007353286318379805,2.8718088611987214,2.3653392901818218,3.387886886900851
A,D,global,10,so,99,9,4000,0.07284750578894433,0.06536218118889765,-0.0074853246000466805,-0.008231716947493542,-0.006798190432152,10.275334095491695,9.270795823214469,11.397663053731177
A,D,global,10,sst,99,9,4000,0.02928102899414766,0.029048349963427644,-0.00023267903072001633,-0.00029400861091717347,-0.00014898010390194415,0.7946408945072259,0.5093426013123357,1.0047145584262673
A,D,global,10,thetao,99,9,4000,0.06759994852601733,0.06161301404683379,-0.005986934479183546,-0.006735979216542407,-0.005335917847617678,8.856418695170076,7.774154788800893,10.111110677545119
A,D,global,10,ts,99,9,4000,0.07027272636090934,0.06351526678565407,-0.006757459575255267,-0.007486708327071701,-0.006102928949397477,9.616048679469259,8.578523349235406,10.78509839313647
A,D,global,10,uo,99,9,4000,0.4737310573228097,0.43384231546989416,-0.03988874185291552,-0.041801127641149405,-0.03816581840770552,8.420123873308683,8.10303974702594,8.776048516318198
A,D,global,10,vo,99,9,4000,0.4955277191844687,0.46653856954420303,-0.028989149640265666,-0.030011747204659486,-0.028085607393312496,5.850157018052493,5.693143682274226,6.021727880919596
A,D,global,10,zos,99,9,4000,0.034792987798907764,0.03387076842050662,-0.0009222193784011457,-0.0011734153841273793,-0.0006578888776580931,2.6505897789844246,1.8928112768945724,3.35614221240669
A,D,global,15,so,99,9,4000,0.07288330665970184,0.06576893696638607,-0.007114369693315775,-0.007827400623297107,-0.006451744997723953,9.76131575167597,8.80440677455413,10.83737191839133
A,D,global,15,sst,99,9,4000,0.03402915631648968,0.0336808921423277,-0.0003482641741619774,-0.00044028456330773866,-0.0002603959705679543,1.0234287648007823,0.7666460152282208,1.2966876992698848
A,D,global,15,thetao,99,9,4000,0.06784749823557862,0.06230400709157195,-0.005543491144006665,-0.006252781923780306,-0.004923459805474567,8.170516655984382,7.144507473706619,9.353905242456317
A,D,global,15,ts,99,9,4000,0.07041043745950941,0.06405990309606746,-0.006350534363441948,-0.007046377718163739,-0.0057212241765082885,9.019308205681753,8.032965801024227,10.1308317737001
A,D,global,15,uo,99,9,4000,0.48119066951256284,0.44999812431706865,-0.031192545195494192,-0.03288861629020833,-0.02966248884231572,6.482367005804923,6.200273199642083,6.796131972026379
A,D,global,15,vo,99,9,4000,0.5157152125363309,0.4929551400129598,-0.02276007252337109,-0.0240460707413848,-0.02166375950043995,4.4133025301765105,4.22261600265375,4.629126275176132
A,D,global,15,zos,99,9,4000,0.03874032057854267,0.03795723044162964,-0.0007830901369130297,-0.0011445109375972384,-0.0005120864514829645,2.0213826969381454,1.307994758428787,2.9324737186308782
A,D,global,20,so,99,9,4000,0.07310066459637038,0.0663431335610697,-0.006757531035300676,-0.007428692861020352,-0.006133389197528251,9.244144458347648,8.33674527432505,10.243685760738684
A,D,global,20,sst,99,9,4000,0.03747025162756173,0.037076309572608754,-0.000393942054952974,-0.0005082116324895581,-0.00029032335510711086,1.0513461688717474,0.778712102182818,1.3512128562247212
A,D,global,20,thetao,99,9,4000,0.06837888820223893,0.06315752943781884,-0.005221358764420092,-0.00589168354703597,-0.0046315743319149255,7.635922287851892,6.674196292351421,8.745658221301083
A,D,global,20,ts,99,9,4000,0.07077916189177899,0.06476991931209612,-0.006009242579682869,-0.0066671825848577835,-0.005412896784787853,8.49012960745561,7.564607355211782,9.540037514457351
A,D,global,20,uo,99,9,4000,0.4905937558968726,0.46574443987026093,-0.024849316026611667,-0.026624194247929927,-0.023251919827265433,5.065151304501159,4.766039582272994,5.391355238871139
A,D,global,20,vo,99,9,4000,0.5352533228113991,0.5175290347543725,-0.017724288057026638,-0.018624323316762736,-0.01685233857804208,3.3113830968727886,3.160172659357603,3.4652107448111065
A,D,global,20,zos,99,9,4000,0.041511401832933684,0.04055312894400775,-0.0009582728889259359,-0.0011821881492565453,-0.0007346291964802149,2.3084570662840753,1.7920494382098497,2.805933261201001
A,D,global,25,so,99,9,4000,0.0735586240979188,0.06705425794303714,-0.006504366154881661,-0.007141615081740807,-0.005915079733560257,8.8424249836746,7.995829797581626,9.793812016851943
A,D,global,25,sst,99,9,4000,0.04046174188126991,0.04001600359115726,-0.0004457382901126433,-0.0005116599780199393,-0.0003817317755646768,1.1016290188905042,0.9493737068479462,1.2572336170170821
A,D,global,25,thetao,99,9,4000,0.06910232762481905,0.06411888148871452,-0.004983446136104533,-0.0056138430278240056,-0.004424939103297609,7.211690701884055,6.304674824932602,8.236720479058471
A,D,global,25,ts,99,9,4000,0.0713652676809481,0.06560298953422465,-0.0057622781467234485,-0.006377599018701768,-0.0052027878952093255,8.07434531386444,7.213010114832786,9.055332250217832
A,D,global,25,uo,99,9,4000,0.5001325657932223,0.4795716405452514,-0.020560925247970874,-0.022440058660924984,-0.018704499087747573,4.111095068436654,3.7651756301846615,4.453096374678237
A,D,global,25,vo,99,9,4000,0.552508890713414,0.5385712903758268,-0.013937600337587175,-0.014758523678601221,-0.013082068414440554,2.5226020018592976,2.370789598493354,2.664113281783719
