model,region,box_width_cells,variable,prediction_anomaly_energy,target_anomaly_energy,cross_anomaly_moment,anomaly_mse,anomaly_rms_ratio,anomaly_correlation
E,global,9,zos,0.0032416057603603,0.0032416057603603,0.0032416057603603,0.0,1.0,1.0
E,tropics,0,so,0.003398697924971484,0.00556262085767442,0.0017108262681416134,0.0055396662562887476,0.7816575970762524,0.3934684338802266
E,tropics,0,sst,0.0035379888146476,0.0035379888146476,0.0035379888146476,0.0,1.0,1.0
E,tropics,0,thetao,0.004255961885142133,0.005018571690612044,0.002673744746039801,0.0039270440807438,0.9208922089949749,0.5785368318417333
E,tropics,0,velocity,0.3366895334449523,0.45279957606778504,0.2576038148011547,0.2742814794578874,0.8623067826152667,0.6597577134571689
E,tropics,0,zos,0.0044696328919286,0.0044696328919286,0.0044696328919286,0.0,1.0,1.0
E,tropics,3,so,0.0005558956373566685,0.0005817810999804177,6.069890852987062e-05,0.0010162789217868105,0.9775001408440488,0.10673440777330613
E,tropics,3,sst,7.860092261001807e-05,7.860092261001807e-05,7.860092261001807e-05,0.0,1.0,1.0
E,tropics,3,thetao,0.0006169156235419222,0.000303547318987435,5.0293726321133196e-05,0.0008198754902143667,1.4256065556177928,0.11622183522959903
E,tropics,3,velocity,0.07353017287173368,0.12056992629098325,0.0489518547195823,0.09619638990315742,0.7809321378503793,0.5198964597103531
E,tropics,3,zos,0.000141801409652,0.000141801409652,0.000141801409652,0.0,1.0,1.0
E,tropics,9,so,0.0015003519578465577,0.002007177723696619,0.00034316583516046735,0.002821198022340816,0.8645769651305067,0.19774911796386357
E,tropics,9,sst,0.0003904461821851,0.0003904461821851,0.0003904461821851,0.0,1.0,1.0
E,tropics,9,thetao,0.0015634119753802666,0.0013055355775087021,0.00041866672612028287,0.002031614098915522,1.094315023156045,0.29304706328448515
E,tropics,9,velocity,0.26728152709476877,0.3705146598200384,0.19911278949038938,0.2395706072564552,0.8493403835911972,0.6327206180011029
E,tropics,9,zos,0.0009003529893093,0.0009003529893093,0.0009003529893093,0.0,1.0,1.0
original,extratropics,0,so,0.0039079143451405006,0.0060622746614476,0.002193376855956058,0.005583435286181505,0.8028875316103764,0.4506329397827612
original,extratropics,0,sst,0.0053585917016284,0.0053585917016284,0.0053585917016284,0.0,1.0,1.0
original,extratropics,0,thetao,0.005713464869797717,0.008439573906043206,0.0042863212355402,0.0055803963411810605,0.822790976851981,0.6172692957533447
original,extratropics,0,velocity,0.494832108259708,0.6052613654141729,0.46512402782235485,0.16984541939966602,0.9041853359639067,0.8499010438924778
original,extratropics,0,zos,0.0081600304269655,0.0081600304269655,0.0081600304269655,0.0,1.0,1.0
original,extratropics,3,so,0.0009248765209581107,0.0009373131444178054,0.00029150017523343365,0.0012791893159997264,0.9933436584358976,0.31307946946379334
original,extratropics,3,sst,0.0003471269379275,0.0003471269379275,0.0003471269379275,0.0,1.0,1.0
original,extratropics,3,thetao,0.0013933348858368667,0.0014739693815193037,0.0008592860385078661,0.0011487321972778665,0.9722624754189206,0.5996057224898849
original,extratropics,3,velocity,0.30698971168902056,0.40509180172461895,0.2882074455154791,0.13566662291345094,0.8705328889009412,0.8172718843473992
original,extratropics,3,zos,0.00188648299728,0.00188648299728,0.00188648299728,0.0,1.0,1.0
original,extratropics,9,so,0.0020214229178686684,0.0025095795711831473,0.0008057969192789064,0.002919408650378058,0.8974868776866181,0.3577639071667571
original,extratropics,9,sst,0.001001836462158,0.001001836462158,0.001001836462158,0.0,1.0,1.0
original,extratropics,9,thetao,0.0030712920187684,0.0035871181333156665,0.0020092200613339487,0.0026399700286321775,0.925310980504718,0.6053326657450806
original,extratropics,9,velocity,0.48138027078116086,0.5864680843791197,0.45438034839607316,0.15908765978517048,0.9059869708420072,0.8551714734496029
original,extratropics,9,zos,0.0045925453399317,0.0045925453399317,0.0045925453399317,0.0,1.0,1.0
original,global,0,so,0.0036994964274260946,0.005848825363852453,0.002012074514016282,0.0055241727729472,0.7953109812408801,0.4325521020128149
original,global,0,sst,0.0046924494719603,0.0046924494719603,0.0046924494719603,0.0,1.0,1.0
