model,region,lead_days,variable,normalized_mse,normalized_rmse
E,tropics,10,so,0.005671995955978306,0.07531265468683404
E,tropics,10,sst,0.0009834992474725343,0.031360791563232814
E,tropics,10,thetao,0.004301466813086723,0.06558556863431714
E,tropics,10,velocity,0.5557925972309219,0.7455149879317798
E,tropics,10,zos,0.001050578159835105,0.03241262346424777
E,tropics,15,so,0.005800746379178492,0.07616263112037616
E,tropics,15,sst,0.0016686349814390325,0.040848928767337735
E,tropics,15,thetao,0.0045636489596839296,0.06755478487630562
E,tropics,15,velocity,0.6572309626085145,0.8106978244750103
E,tropics,15,zos,0.001636468895917914,0.04045329276978469
E,tropics,20,so,0.005957536035048211,0.07718507650477656
E,tropics,20,sst,0.002418497383284018,0.04917822061933533
E,tropics,20,thetao,0.0048371247086055735,0.0695494407497686
E,tropics,20,velocity,0.6935508349897506,0.8327969950652744
E,tropics,20,zos,0.002152893962714817,0.04639928838586662
E,tropics,25,so,0.0061395445200235375,0.07835524564458679
E,tropics,25,sst,0.003261814392501002,0.05711229633363556
E,tropics,25,thetao,0.005111309219745913,0.0714934208144072
E,tropics,25,velocity,0.7046097128165332,0.839410336376991
E,tropics,25,zos,0.0025798376318010336,0.050792102061255874
E,tropics,30,so,0.006373994313710176,0.07983729901311902
E,tropics,30,sst,0.004263328786967553,0.0652941711561419
E,tropics,30,thetao,0.005420933915673173,0.07362699176031283
E,tropics,30,velocity,0.737356344534006,0.8586945583465672
E,tropics,30,zos,0.0030307984461706403,0.05505268791049753
blur3_truth,extratropics,0,so,0.005107820017657112,0.07146901438845447
blur3_truth,extratropics,0,sst,0.0008254020887595838,0.02872981184692277
blur3_truth,extratropics,0,thetao,0.0027186843303910247,0.05214100430938231
blur3_truth,extratropics,0,velocity,0.5398399271011542,0.7347379989500709
blur3_truth,extratropics,0,zos,0.0029725079034275915,0.05452071077515031
blur3_truth,extratropics,5,so,0.0052028639675794006,0.07213088081799224
blur3_truth,extratropics,5,sst,0.0015517195364497447,0.03939187145147771
blur3_truth,extratropics,5,thetao,0.0028346435089121355,0.053241370276431985
blur3_truth,extratropics,5,velocity,0.5897150667169384,0.7679290766190185
blur3_truth,extratropics,5,zos,0.004631315447352398,0.06805376879609533
blur3_truth,extratropics,10,so,0.005370084537954811,0.0732808606523887
blur3_truth,extratropics,10,sst,0.002972739270060373,0.05452283255719913
blur3_truth,extratropics,10,thetao,0.0030940595020974137,0.055624270800590396
blur3_truth,extratropics,10,velocity,0.6268607114047081,0.7917453576780278
blur3_truth,extratropics,10,zos,0.005499968799113271,0.07416177451432289
blur3_truth,extratropics,15,so,0.0055879824719012984,0.07475280912381352
blur3_truth,extratropics,15,sst,0.004910917165971337,0.0700779363706676
blur3_truth,extratropics,15,thetao,0.003454490979550243,0.05877491794592522
blur3_truth,extratropics,15,velocity,0.6535463742931621,0.8084221510406318
blur3_truth,extratropics,15,zos,0.006031110685205771,0.07766022588948458
blur3_truth,extratropics,20,so,0.005825390063755581,0.07632424296221733
blur3_truth,extratropics,20,sst,0.007290642962536979,0.08538526197498593
blur3_truth,extratropics,20,thetao,0.0038946887819769093,0.06240744171953301
blur3_truth,extratropics,20,velocity,0.6773517596030857,0.823013827103218
blur3_truth,extratropics,20,zos,0.00653341951582463,0.0808295708006954
blur3_truth,extratropics,25,so,0.006085966667974198,0.07801260582735457
blur3_truth,extratropics,25,sst,0.010182314368924363,0.10090745447648733
blur3_truth,extratropics,25,thetao,0.004413983980780987,0.0664378204096205
blur3_truth,extratropics,25,velocity,0.6996679744984735,0.836461579810139
blur3_truth,extratropics,25,zos,0.006911122249533379,0.08313315974707913
blur3_truth,extratropics,30,so,0.006371689969442852,0.07982286620663813
blur3_truth,extratropics,30,sst,0.013638357669491312,0.1167833792518923
blur3_truth,extratropics,30,thetao,0.005006624443660828,0.07075750450419255
blur3_truth,extratropics,30,velocity,0.7211683766440088,0.8492163308863112
blur3_truth,extratropics,30,zos,0.007423424227821657,0.08615929565532472
blur3_truth,global,0,so,0.0042797043244774775,0.06541944913003683
blur3_truth,global,0,sst,0.0005957846573290111,0.024408700443264306
blur3_truth,global,0,thetao,0.00296782560257792,0.054477753281297496
blur3_truth,global,0,velocity,0.41031487188254945,0.6405582501869361
blur3_truth,global,0,zos,0.0020214914652339727,0.04496099937984
