arm,label,method,composite,spectral_error_dex,sst_rmse/day5,velocity_rmse/day5,eke_rmse/day5,sst_variance_map_rmse/day5,sst_rmse/day15,velocity_rmse/day15,eke_rmse/day15,sst_variance_map_rmse/day15,sst_rmse/day30,velocity_rmse/day30,eke_rmse/day30,sst_variance_map_rmse/day30,sst_rmse,velocity_rmse,eke_rmse,ohc_0_700_rmse,ohc_700_2000_rmse
obs25,D → 25% OM4 → observations,inferred-anomaly-persistence,2.427612917434665,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,6207175250.627368,4243077137.990334
obs25,D → 25% OM4 → observations,seasonal-climatology,1.3780512850815465,1.6402581261804532,0.9487160727374434,0.20042391938808574,0.031029778121511163,1.144697945573061,0.8456264659447679,0.20017246937158076,0.031028839217341862,1.15419287476738,0.9173717495967937,0.2000667019186821,0.03073433926687305,1.114814998744051,0.9039047627596682,0.20022103022611618,0.030930985535242025,838171742.102,372852154.41622376
obs50,D → 50% OM4 → observations,selected,0.6077915799308746,0.33317972259472683,0.4058718180230027,0.13784174374753036,0.022076060032108928,0.47354431278011205,0.5122277965391757,0.13246502982502328,0.02511427421084487,0.613498013208341,0.5850091941824466,0.13529278064310538,0.026753299293287264,0.7409660744594475,0.5010362695815417,0.13519985140521965,0.024647877845413686,677065417.2901204,418961310.88485557
obs50,D → 50% OM4 → observations,selected-inferred-persistence,0.6181877349052108,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,709409167.5003092,422246277.76821595
obs50,D → 50% OM4 → observations,selected-inferred-anomaly-persistence,0.6344027740649747,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,735458032.889267,468190909.4724367
obs50,D → 50% OM4 → observations,source-with-zero-forcing,2.537881368087049,0.4224911829708596,0.560832134328272,0.14193764755579444,0.023434289008086136,1.0420096789468163,0.9701865444944829,0.14531163511931972,0.027262763412352432,1.8359112112531444,1.479081300772912,0.1546933033933765,0.02897340659291799,2.751962549331968,1.0033666598652224,0.14731419535616355,0.02655681967111885,6170007010.587753,4252358166.508767
obs50,D → 50% OM4 → observations,source-inferred-persistence,2.429330291455257,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,6225480252.722501,4240106569.4171286
obs50,D → 50% OM4 → observations,inferred-anomaly-persistence,2.429420493328799,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,6223741637.8411045,4241311621.5465736
obs50,D → 50% OM4 → observations,seasonal-climatology,1.3780512850815465,1.6402581261804532,0.9487160727374434,0.20042391938808574,0.031029778121511163,1.144697945573061,0.8456264659447679,0.20017246937158076,0.031028839217341862,1.15419287476738,0.9173717495967937,0.2000667019186821,0.03073433926687305,1.114814998744051,0.9039047627596682,0.20022103022611618,0.030930985535242025,838171742.102,372852154.41622376
obs75,D → 75% OM4 → observations,selected,0.6266687774839927,0.3791411930750732,0.3981898993405999,0.14089196280136654,0.022722036651977695,0.46314179924060317,0.5103004401818352,0.1365934729883685,0.026023357442806018,0.5716463653516877,0.5811198273678237,0.1376892803149295,0.02772512556720841,0.6916036522941746,0.49653672229675294,0.1383915720348882,0.025490173220664037,648692801.3624918,401250742.7393812
obs75,D → 75% OM4 → observations,selected-inferred-persistence,0.6153329000066698,0.21547029800701537,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,706414301.6587164,413355049.6601574
obs75,D → 75% OM4 → observations,selected-inferred-anomaly-persistence,0.6295318595382959,0.21547029800701537,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,724848384.6559458,455793125.98835397
