index,date,members,mean_mse,sample_mse,d_mse,climatology_mse,crps,d_mae,spread_variance,coverage90,anomaly_correlation,mean_anomaly_m2,sample_anomaly_m2,truth_anomaly_m2
60,2015-08-31 12:00:00,16,0.0013093395878558617,0.0015504610196861472,0.0018934738572508913,0.002736314009395642,0.019562706801433127,0.03060471167205292,0.00024112144646760067,0.40296652913093567,0.7234355454732613,0.0012217996599344864,0.0014629210917647716,0.002736314009395642
66,2015-09-30 12:00:00,16,0.001550650485095473,0.0017782718624694167,0.0021505679959375953,0.00288603290144298,0.021555988466719245,0.032736637411026726,0.00022762143592320504,0.3610106408596039,0.67968197753127,0.0012818635905479374,0.0015094850850204038,0.00288603290144298
72,2015-10-30 12:00:00,16,0.0014507967107501856,0.0016805799610456215,0.002042005018985008,0.002982949259352582,0.020550020419339732,0.031544619103518245,0.0002297832942073818,0.3716534376144409,0.7174828823825808,0.0013812606806556656,0.0016110440480496238,0.002982949259352582
78,2015-11-29 12:00:00,16,0.0013391683286768734,0.0015742220663693106,0.0019292677139040842,0.00299341599368335,0.020008529436751465,0.030918479122949316,0.0002350536937804912,0.368510901927948,0.7459326499016997,0.0014212157504026803,0.0016562694880951174,0.00299341599368335
84,2015-12-29 12:00:00,16,0.001370186790485988,0.0016097140430316244,0.0019819913236376885,0.002886579517345782,0.020053454882607125,0.031095203489289958,0.00023952719399637497,0.3703930079936981,0.7275665563718603,0.0013504707951623753,0.0015899980477080116,0.002886579517345782
90,2016-01-28 12:00:00,16,0.0013794027954984564,0.001620043772091125,0.001960335357092628,0.002900942119518498,0.020808922289712317,0.031625865339119485,0.00024064103514192975,0.34457311034202576,0.729061745187965,0.0013574475251300114,0.00159808850172268,0.002900942119518498
96,2016-02-27 12:00:00,16,0.001396462293741744,0.0016387226258013886,0.001972357393998592,0.0028659179514533765,0.020621241979592586,0.031488867166800105,0.0002422603613342753,0.3658488392829895,0.7166328867721001,0.0013462403768417846,0.0015885009430984744,0.0028659179514533765
102,2016-03-28 12:00:00,16,0.001359164072370622,0.0015968688035128294,0.0019085607137849677,0.0028177988898195937,0.02046704242074182,0.03108700040141099,0.00023770487751536044,0.37018704414367676,0.7228502563334347,0.0013446467830497478,0.0015823516312904776,0.0028177988898195937
108,2016-04-27 12:00:00,16,0.001289976410380394,0.0015151273602261872,0.0018389479841582422,0.00278480263396628,0.019549123491826137,0.03067027825336699,0.00022515097912042373,0.3672209084033966,0.7347724920220392,0.0013790565351675687,0.0016042074850133618,0.00278480263396628
114,2016-05-27 12:00:00,16,0.0013629906178872788,0.0015871777297947769,0.0019607928610198447,0.002756451676498601,0.02056072009918186,0.03162593138652592,0.0002241871265448135,0.35065916180610657,0.7160822875807525,0.001349675344899365,0.0015738623397083408,0.002756451676498601
120,2016-06-26 12:00:00,16,0.0013071548807224917,0.0015328033821901796,0.0018811255838613787,0.0026743033158464413,0.01969083348612044,0.03085016232763138,0.00022564832581990413,0.36466002464294434,0.7179064627051708,0.001338357772704467,0.0015640060399751098,0.0026743033158464413
126,2016-07-26 12:00:00,16,0.0013492219394204345,0.0015751031156522326,0.001932843785681218,0.0027501920578824556,0.019567446363318752,0.030789464761119545,0.00022588132260495118,0.38471779227256775,0.7154902729917865,0.0012678130559375532,0.0014936944663663963,0.0027501920578824556
132,2016-08-25 12:00:00,16,0.0012327161696899893,0.0014594946718993302,0.0018301165306935032,0.0026828620468523916,0.018560412310799412,0.029940953730676068,0.00022677834119887248,0.39773690700531006,0.7370409672690215,0.00133648899738467,0.0015632672653969658,0.0026828620468523916
138,2016-09-24 12:00:00,16,0.0013308188527305432,0.001563531322565093,0.0018428418613253084,0.00275635846607473,0.019917203045980436,0.03033560811928271,0.00023271270403159487,0.35948675870895386,0.7228593396945906,0.00137946075926707,0.001612173580397187,0.00275635846607473
144,2016-10-24 12:00:00,16,0.0012985291693616992,0.0015255670447982693,0.001868959749969845,0.00281213319490932,0.019389161957238166,0.030532178410308308,0.0002270378315246241,0.39314717054367065,0.7355393620979398,0.0014719696458901348,0.0016990074042281824,0.00281213319490932
150,2016-11-23 12:00:00,16,0.001411362729428078,0.0016406940965253752,0.0020471559487905866,0.0028125013526639066,0.02034392477135838,0.03172190883565795,0.00022933139637192773,0.3767959773540497,0.7060545069493225,0.0014055787650101288,0.0016349100150089035,0.0028125013526639066
156,2016-12-23 12:00:00,16,0.0013935018088971354,0.0016275544713211382,0.0019271905032143242,0.0027959497107124896,0.020380862443880043,0.031106959927635014,0.00023405272097326395,0.37510231137275696,0.7080696752541877,0.00135360786457884,0.0015876604099043204,0.0027959497107124896
162,2017-01-23 12:00:00,16,0.0012563327167964481,0.0014913770866070892,0.0018196329341755018,0.0027929421522618555,0.018846054134140422,0.030098545484321226,0.00023504426734943386,0.3981492221355438,0.7427486522799953,0.0014410146514801886,0.0016760589041923072,0.0027929421522618555
168,2017-02-22 12:00:00,16,0.0013456484438107944,0.0015805515928033595,0.0018889211837965153,0.002788361023866524,0.01938251362530663,0.030310787503945225,0.00023490300261941194,0.397972047328949,0.7190248212396891,0.0014104950293767156,0.001645398061270758,0.002788361023866524
174,2017-03-24 12:00:00,16,0.001293380932822137,0.001529307874196492,0.001770341950529029,0.0027903538065215967,0.018792255879704567,0.029315046236977782,0.00023592711702213857,0.4006878733634949,0.7321656033331115,0.0014221266598088275,0.0016580537182817048,0.0027903538065215967
180,2017-04-23 12:00:00,16,0.0013671552268382518,0.0015936457837808856,0.001869106708615521,0.002832118633933093,0.019216618391724727,0.029922727288396844,0.0002264905423053183,0.3958439826965332,0.7189667321836087,0.0014419558894036505,0.0016684464463462842,0.002832118633933093
186,2017-05-23 12:00:00,16,0.0012842389340758577,0.0015124257802147179,0.0018580615075838441,0.0028165951170087966,0.019119967259047077,0.03064456731899079,0.00022818691932543667,0.3983565866947174,0.7375154977030539,0.0015044752589343786,0.0017326621050732388,0.0028165951170087966
192,2017-06-22 12:00:00,16,0.0012280004950923613,0.0014527252063164327,0.0017997141242110037,0.0027506433555879823,0.01854283577499949,0.029706488079735527,0.0002247246234001793,0.3966616690158844,0.7452412746488257,0.0015535991429893139,0.0017783236200163402,0.0027506433555879823
198,2017-07-22 12:00:00,16,0.001196808727470019,0.0014205205364748882,0.0017394500722226836,0.0028600349216854333,0.018460018932073274,0.029258197913312856,0.00022371175045560795,0.39658859372138977,0.7628476903589203,0.001690970698435319,0.001914682390341666,0.0028600349216854333
204,2017-08-21 12:00:00,16,0.0012677588393216585,0.0014954062125675863,0.001834388518989564,0.0028817056426443223,0.018915899266443215,0.02999930265141515,0.0002276474757071351,0.41399431228637695,0.7479340387749831,0.0015911897593709962,0.0018188371326169242,0.0028817056426443223
210,2017-09-20 12:00:00,16,0.0013062103640404013,0.0015335018748766002,0.0018877719788971802,0.0029210392705326894,0.019442858498668114,0.03034854020146227,0.00022729139373767662,0.401050865650177,0.7439891705902962,0.0014898932141305889,0.001717184490769743,0.0029210392705326894
216,2017-10-20 12:00:00,16,0.001315791716442917,0.0015475031110090325,0.0018985856761499712,0.0030164464626849415,0.019242115332504084,0.03018465016713967,0.00023171133601685435,0.4060916006565094,0.7521879417800994,0.0016309209367430847,0.0018626322142106778,0.0030164464626849415
222,2017-11-19 12:00:00,16,0.0012724177211358976,0.0015045497335946575,0.0018450374586212663,0.0029806520205391362,0.01921699882478578,0.0301737919735221,0.00023213207100802112,0.40256133675575256,0.7593286336191675,0.0015291826958759918,0.0017613147083347517,0.0029806520205391362
228,2017-12-19 12:00:00,16,0.001340257930428281,0.001578447800749003,0.0019502898261471164,0.0029720996128533984,0.020103411819884842,0.03131416385109631,0.00023818985568340695,0.37734103202819824,0.7436962042920514,0.0014410616079876914,0.0016792513612098913,0.0029720996128533984
234,2018-01-18 12:00:00,16,0.0012999202998084183,0.0015321612138930578,0.001874359748332677,0.0030311641075777295,0.019370813987731106,0.030289356441505877,0.0002322408994473241,0.38518181443214417,0.7578111064212012,0.001530902287678186,0.001763143318861348,0.0030311641075777295
240,2018-02-17 12:00:00,16,0.001395240721955534,0.0016352818028176857,0.0019415967831359147,0.0030330721109025475,0.019582967503830484,0.030529938082282104,0.0002400410954994669,0.39722946286201477,0.7363030161688102,0.0014757771043476323,0.0017158183023083062,0.0030330721109025475
