split,variant,seed,region,lead_step,method,weighted_squared_error,weight,weighted_bias_u,weighted_bias_v,vector_rmse_m_per_s,bias_u_m_per_s,bias_v_m_per_s,forecast_dates,minimum_valid_cells,maximum_valid_cells,minimum_lead_days,maximum_lead_days
test,D4,15,north_pacific_gyre,4,samudra,1095.4455499649048,105038.52392578125,2510.6481357494445,-1569.2251659012022,0.1021224188058222,0.023902165052542373,-0.014939520351694914,118,12775,12775,20.0,20.0
test,D4,15,north_pacific_gyre,4,seasonal_climatology,2052.5993690490723,105038.52392578125,961.5994690982787,221.9919579721038,0.13979054255659526,0.009154731361016948,0.0021134337162711865,118,12775,12775,20.0,20.0
test,D4,15,north_pacific_gyre,6,damped_linear,3504.8255729675293,105038.52392578125,68.82474909788954,-4.981317832719785,0.1826664966087744,0.000655233399381356,-4.742372271186441e-05,118,12775,12775,30.0,30.0
test,D4,15,north_pacific_gyre,6,persistence,2683.002429962158,105038.52392578125,93.50908341124715,-7.438561227120826,0.15982187740088463,0.0008902360764067796,-7.081745772033896e-05,118,12775,12775,30.0,30.0
test,D4,15,north_pacific_gyre,6,samudra,1584.26305103302,105038.52392578125,3321.8401075109473,-2002.9540489329922,0.12281158650029335,0.03162496942415254,-0.019068756624457627,118,12775,12775,30.0,30.0
test,D4,15,north_pacific_gyre,6,seasonal_climatology,2044.8583793640137,105038.52392578125,968.2941519399504,221.71797424007602,0.1395266967855509,0.00921846686101695,0.0021108253044067795,118,12775,12775,30.0,30.0
test,D4,15,southern_ocean,1,damped_linear,9246.173149108887,851759.26171875,17.29458757987443,-0.8116545709998385,0.10418917008791262,2.0304548899152548e-05,-9.529154627118643e-07,118,139797,139797,5.0,5.0
test,D4,15,southern_ocean,1,persistence,10145.525291442871,851759.26171875,22.50308557188421,-1.3079906690641514,0.1091387151301192,2.6419537283898306e-05,-1.5356342194915263e-06,118,139797,139797,5.0,5.0
test,D4,15,southern_ocean,1,samudra,3866.777856826782,851759.26171875,1464.8962604195526,-2494.0662148907113,0.0673776995809435,0.0017198477624576272,-0.0029281351280618646,118,139797,139797,5.0,5.0
test,D4,15,southern_ocean,1,seasonal_climatology,38378.67468261719,851759.26171875,-699.2870777681286,-26.34620726972746,0.2122689904188691,-0.000820991457559322,-3.093151839237288e-05,118,139797,139797,5.0,5.0
