model,region,channel,mse,mean_bias_mse,amplitude_mse,pattern_mse,prediction_temporal_variance,target_temporal_variance
original,global,so_6,0.008446647580422881,0.0029751861038871553,0.0013887966475401112,0.004082664828995613,0.0029414761057815304,0.0056756992957724675
original,global,so_7,0.009417334536940011,0.0038515657639352535,0.0013768299938911478,0.004188938779113595,0.0033694312862582493,0.005817349090717328
original,global,so_8,0.007402518531763847,0.003337594736629215,0.0009061967930022811,0.0031587270021323634,0.0029745904462065652,0.004174496347736307
original,global,so_9,0.005226530279630965,0.0024489504917961312,0.0006931058487838438,0.0020844739390509857,0.0021141794072049016,0.0027389671113865754
original,global,so_10,0.003558760181501762,0.001867023591075051,0.00045253383750375306,0.0012392027529229898,0.001242212562169879,0.0013011459161065587
original,global,so_11,0.00455197358640203,0.0027400891427864964,0.0006946972048487533,0.0011171872387667797,0.0009840611644270972,0.0012717272415799159
original,global,so_12,0.003819804829555847,0.002723066658786979,0.00045096408004763246,0.0006457740907212392,0.0007798750697959906,0.0006783720496123947
original,global,so_13,0.0013633895761120459,0.0008381497380927897,0.00024199076230767435,0.0002832490757115871,0.0004935357999921018,0.00021769701613185837
original,global,so_14,0.0010192227691892982,0.0004889547389601124,0.00032350190540637977,0.00020676612482280193,0.0005017555291115235,6.32419877260446e-05
original,global,so_15,0.0014171663018743685,0.000679368632790212,0.0004897887133355308,0.0002480089557486092,0.0006993514205755131,8.274829859884066e-05
original,global,so_16,0.002349416875584297,0.0011332517558921085,0.0007449874187947355,0.0004711777008974989,0.0011139222867079734,0.00016312596857391413
original,global,so_17,0.005539080713517938,0.0038538466975845476,0.000834039085939586,0.0008511949299938073,0.0014756632839120806,0.00022477508269040913
original,global,so_18,0.004309450064365139,0.003082851844969865,0.000679614013321889,0.0005469842060733771,0.0011017638087850905,9.370869941972795e-05
original,global,zos,0.0,0.0,0.0,0.0,0.0073459313602027366,0.0073459313602027366
