model,region,box_width_cells,channel,prediction_anomaly_energy,target_anomaly_energy,cross_anomaly_moment,anomaly_mse
original,global,0,so_11,0.001861175446949824,0.004086708428921423,0.0006979551528477007,0.0045519735795831445
original,global,0,so_12,0.001535192183736298,0.0035558773199980613,0.0006356323390700525,0.003819804829121991
original,global,0,so_13,0.0009819703127229304,0.0008070928901857274,0.00021283681380369635,0.0013633895961737091
original,global,0,so_14,0.0009357238369476465,0.0002785836290003676,9.754234744115931e-05,0.0010192227682729036
original,global,0,so_15,0.0013648063141965506,0.00035754559535740153,0.0001525927988096197,0.0014171663041442934
original,global,0,so_16,0.0021320945451581723,0.0008594542477195237,0.00032106596027557373,0.002349416871150636
original,global,0,so_17,0.004451436679716213,0.008903453639247503,0.0039079047955873645,0.00553908070897439
original,global,0,so_18,0.0039376128027497825,0.009725005530535874,0.004676584184941168,0.004309450080994554
original,global,0,zos,0.006809747335736198,0.006809747335736198,0.006809747335736198,0.0
original,tropics,0,uo_0,0.6386714550581846,0.783602151003751,0.6228681044145065,0.1765373982865401
original,tropics,0,uo_1,0.7391626205709246,0.8999076777636403,0.7263977530628745,0.18627479672431949
original,tropics,0,uo_2,0.790882104575032,0.9245029055710996,0.7739233275254568,0.16753836638397643
original,tropics,0,uo_3,0.7226409319073264,0.8586699318404151,0.7090811702338132,0.16314852026977925
original,tropics,0,uo_4,0.5345177147725616,0.6761662767391012,0.5214725212015288,0.16773896024684715
original,tropics,0,uo_5,0.35720292757255867,0.4999947839915151,0.33939208195667075,0.17841354509194693
original,tropics,0,uo_6,0.20595819488017247,0.31474539592410583,0.1771128529099503,0.1664778825008508
original,tropics,0,uo_7,0.1889228133691682,0.2993023735706253,0.147869571290835,0.19248604307873082
original,tropics,0,uo_8,0.1797696516820879,0.3001078397336633,0.13417020154119744,0.2115370926230845
original,tropics,0,uo_9,0.1756271640911247,0.3108469390808934,0.12604586768782503,0.23438236599016674
original,tropics,0,uo_10,0.16883362069575475,0.32686166209403916,0.11526085842739453,0.2651735639030283
original,tropics,0,uo_11,0.16939157285172532,0.3439712056306878,0.10473894728629879,0.303884886129938
original,tropics,0,uo_12,0.17044166069139136,0.3634971235737656,0.09399440431158351,0.3459499749270353
original,tropics,0,uo_13,0.1731957606594972,0.3637970752186246,0.08872479441190008,0.3595432494625901
original,tropics,0,uo_14,0.17399407599610514,0.33572869439317726,0.09193775592127232,0.325847256665278
original,tropics,0,uo_15,0.19067323057338448,0.366369875091495,0.10849426077170807,0.34005458878748346
original,tropics,0,uo_16,0.19404595729076501,0.35672447567034254,0.11095271402537221,0.3288650037062289
original,tropics,0,uo_17,0.1506597013636069,0.2737392473100412,0.0794595338855729,0.2654798842138715
original,tropics,0,uo_18,0.09825443687162015,0.20102465784910956,0.054703599312389745,0.18987189594543344
original,tropics,0,vo_0,0.6139686685619933,0.7771376594148501,0.5743060518394818,0.24249422128754436
original,tropics,0,vo_1,0.6400534507602152,0.814057995574643,0.6095602909723918,0.23499085761681954
original,tropics,0,vo_2,0.6475585063900611,0.7873076338960667,0.6260994263369628,0.18266728670910154
original,tropics,0,vo_3,0.6250635743743242,0.7633916341295147,0.6085390319125822,0.17137714633435916
original,tropics,0,vo_4,0.5547140318937976,0.6891549533665783,0.5358100410061654,0.1722488994851257
original,tropics,0,vo_5,0.38383909638481917,0.5255965069688933,0.35953498970378533,0.19036562695647732
original,tropics,0,vo_6,0.21643114722136297,0.3406774877297758,0.1863590359236255,0.18439056205027032
original,tropics,0,vo_7,0.162309069750887,0.27436590375322284,0.1327659943037563,0.17114298436978853
original,tropics,0,vo_8,0.14801170104982878,0.2636210805538929,0.1179924515461681,0.17564788024232847
original,tropics,0,vo_9,0.1427153836597096,0.2660198673756436,0.10953172484431604,0.18967179893845262
original,tropics,0,vo_10,0.13958577706356243,0.27852202665926235,0.10087615131127715,0.21635550305698859
original,tropics,0,vo_11,0.13962497735264326,0.2989661102042054,0.09332564736556526,0.2519397916215839
original,tropics,0,vo_12,0.13985873405078447,0.3261665287945006,0.08912229906729978,0.28778066568904453
original,tropics,0,vo_13,0.14427089788998018,0.3323423707424992,0.08643064881213988,0.30375197108345803
original,tropics,0,vo_14,0.15677239625441908,0.3336011896831821,0.09834468082496615,0.2936842242876689
original,tropics,0,vo_15,0.19542964577975902,0.3937529650601474,0.13385183081933946,0.32147894935174426
original,tropics,0,vo_16,0.2100063694095371,0.38869738699209816,0.1450301835106479,0.3086433875741381
original,tropics,0,vo_17,0.16942453105943373,0.29779451784461436,0.10493256531731047,0.25735391736632646
original,tropics,0,vo_18,0.1255674809970037,0.25564977978215075,0.07865310580742481,0.22391105044369747
original,tropics,0,thetao_0,0.0035379888146476013,0.0035379888146476013,0.0035379888146476013,0.0
original,tropics,0,thetao_1,0.0037155857220329725,0.0036444677806675737,0.0033158003376100704,0.0007284528568782139
original,tropics,0,thetao_2,0.0040587689515880565,0.004318149411119521,0.003296850723063931,0.0017832169542089107
original,tropics,0,thetao_3,0.005549081403649215,0.0061741273290468295,0.004175895861481703,0.0033714169133078273
original,tropics,0,thetao_4,0.00827914237214083,0.009684875899116801,0.006477373572198129,0.005009271105694952
original,tropics,0,thetao_5,0.011398777911307837,0.013902921257822803,0.009634342091628398,0.006033014877689908
original,tropics,0,thetao_6,0.00914434019024625,0.013258141413744954,0.007713455556318014,0.006975570458429631
original,tropics,0,thetao_7,0.005344265483959456,0.008985363102207582,0.0037964300130202315,0.006736768564830224
original,tropics,0,thetao_8,0.003918218202983039,0.006422260531572381,0.0021319204278177385,0.006076637876568118
original,tropics,0,thetao_9,0.0038893612388596695,0.004431121719229703,0.0015262770689929827,0.0052679287965851605
original,tropics,0,thetao_10,0.002981033211461071,0.0033535589863819006,0.0008969186450063129,0.004540754924293119
original,tropics,0,thetao_11,0.00246143256633947,0.0020770698508266548,0.00047603913808048643,0.0035864241148411027
original,tropics,0,thetao_12,0.0024282797169166083,0.0017853809363029974,0.0003625413381895568,0.0034885780034455086
original,tropics,0,thetao_13,0.002370932207659188,0.002266096368648413,0.00033890898179599776,0.003959210655379175
original,tropics,0,thetao_14,0.0020459501432593574,0.001125025383615396,0.0002247487275395322,0.0027214780431052653
original,tropics,0,thetao_15,0.002234606655559155,0.0003230016416343249,9.402171058515495e-05,0.002369564902648857
original,tropics,0,thetao_16,0.003757811567717881,0.0008525876851630107,0.00034373139373421895,0.003922936508921211
original,tropics,0,thetao_17,0.0042418511937174835,0.0031776708842377473,0.0016670072018498123,0.00408550768601473
original,tropics,0,thetao_18,0.0036952196846179895,0.004552470249678902,0.002213995158201968,0.0038196996931513455
original,tropics,0,so_0,0.007432841385404269,0.012508413237002162,0.003981188320639459,0.011978878056385903
original,tropics,0,so_1,0.006476841645898543,0.009793034622991326,0.0036711271798162905,0.008927622000978451
original,tropics,0,so_2,0.006462369758560502,0.009980273625879277,0.0041071061360075925,0.00822843121120123
original,tropics,0,so_3,0.005522830491753841,0.009434723953782309,0.0036054797637549165,0.007746594812194206
original,tropics,0,so_4,0.0048723220190202655,0.009026006828391492,0.0029262044376486707,0.008045919977993978
original,tropics,0,so_5,0.004125374700930534,0.0074775819572610695,0.0017244016361832055,0.00815415330174746
original,tropics,0,so_6,0.00410976498199608,0.010261412601767467,0.0020981241094602293,0.01017492947949454
original,tropics,0,so_7,0.004239262036998014,0.011646958848818986,0.002635533493976438,0.010615153859059017
original,tropics,0,so_8,0.0035425201740416916,0.007153455182119753,0.0019392867771334797,0.006817401833644119
original,tropics,0,so_9,0.0026643572426918484,0.0038699655360871494,0.0011781924354227619,0.004177937912049168
original,tropics,0,so_10,0.0016008678275734338,0.0014512119485498077,0.000362140946431236,0.002327797874441427
original,tropics,0,so_11,0.0012431458953410539,0.000656878124426279,8.306810135157625e-05,0.0017338878218780716
original,tropics,0,so_12,0.00100884253083907,0.0004360160626932001,5.468365109645491e-05,0.001335491293410987
original,tropics,0,so_13,0.0007220447443265732,0.00020157820262917968,-1.7106854970607958e-06,0.000927044322709506
original,tropics,0,so_14,0.0007563510920259764,5.9565088701095774e-05,-3.126703914069891e-06,0.0008221695851064241
