region,variable,mse,mean_bias_mse,temporal_amplitude_mse,temporal_pattern_mse,mean_bias_mse_fraction,temporal_amplitude_mse_fraction,temporal_pattern_mse_fraction,run
global,so,0.005100215025853752,0.001848513989125305,0.0007385443203359842,0.002513156716392358,0.3624384422529073,0.1448065065084889,0.49275505123858326,B
global,sst,0.0,0.0,0.0,0.0,,,,B
global,thetao,0.004531481699285155,0.002070324867699572,0.0005584663520745751,0.001902690479510911,0.45687591942083033,0.12324144488163188,0.4198826356975163,B
global,uo,0.17951865623595412,0.011453918314549862,0.013998128799737252,0.15406660912166692,0.06380349850377202,0.07797590007212686,0.8582206014241006,B
global,vo,0.18239976260207785,0.010071313997483594,0.015142115855888889,0.15718633274870525,0.05521560913132934,0.08301609409943603,0.8617682967692339,B
global,zos,0.0,0.0,0.0,0.0,,,,B
tropics,so,0.00506325388971201,0.0015900987819196211,0.0008141668472862737,0.00265898826050601,0.31404681980307797,0.16079913530320364,0.5251540448936977,B
tropics,sst,0.0,0.0,0.0,0.0,,,,B
tropics,thetao,0.0036203919225716833,0.0014196804107334945,0.0005253175829651171,0.0016753939288729667,0.39213445425130905,0.14509964506604214,0.46276590068261986,B
tropics,uo,0.23126287530075995,0.012406730865031185,0.016731565817776104,0.20212457861795255,0.053647741120990966,0.0723486888936087,0.8740035699853999,B
tropics,vo,0.22360192649906452,0.00895473450337419,0.019058056146278562,0.19558913584941165,0.04004766257419367,0.08523207489609128,0.8747202625297146,B
tropics,zos,0.0,0.0,0.0,0.0,,,,B
extratropics,so,0.0045867197577716,0.001864314680964184,0.0005105997063193053,0.0022118053704880264,0.40645925180088566,0.11132132183444617,0.48221942636464976,C
extratropics,sst,0.0,0.0,0.0,0.0,,,,C
extratropics,thetao,0.004632306068558138,0.0023555694170053483,0.0004239178491990373,0.0018528188023536557,0.5085090195127258,0.09151335056990026,0.39997762991735303,C
extratropics,uo,0.16984488343104218,0.01164785576464122,0.01441899607687542,0.14377803158952543,0.06857937389306346,0.08489508653776787,0.8465255395691681,C
extratropics,vo,0.1706340042223385,0.010260617158765232,0.013200620274828104,0.14717276678874502,0.06013231187727098,0.07736219011556168,0.8625054980071666,C
extratropics,zos,0.0,0.0,0.0,0.0,,,,C
global,so,0.004489775852987052,0.0016871471258389369,0.0005415314218932737,0.002261097305254737,0.3757753574082047,0.12061435573292426,0.5036102868588477,C
global,sst,0.0,0.0,0.0,0.0,,,,C
global,thetao,0.003968881962680306,0.0018849544585184304,0.0003969148512249381,0.001687012652936839,0.4749333631593981,0.10000671598630499,0.42505992085427213,C
global,uo,0.19374667954292227,0.011516243330202748,0.016274383941965082,0.16595605227075433,0.059439693920800646,0.08399825989461505,0.8565620461845838,C
global,vo,0.19429444850821062,0.009410428049751174,0.01673447176222804,0.1681495486962313,0.04843384935598663,0.08612943854399865,0.8654367121000142,C
global,zos,0.0,0.0,0.0,0.0,,,,C
tropics,so,0.004359758586725426,0.0014099160914502738,0.0005944709776280842,0.0023553715176469958,0.3233931566172448,0.13635410443094872,0.5402527389517898,C
tropics,sst,0.0,0.0,0.0,0.0,,,,C
tropics,thetao,0.00290637116116435,0.0011303233433904499,0.0003525740229878611,0.0014234737947859668,0.3889122485435136,0.12131073542809753,0.489777016028364,C
tropics,uo,0.23471346206135285,0.011438489573363868,0.01940620119868929,0.20386877128929962,0.04873384539985997,0.08268039262961667,0.8685857619705231,C
tropics,vo,0.23549694094203052,0.008140031883882874,0.022654589260220216,0.20470231979792733,0.034565340217674455,0.09619908084409821,0.8692355789382269,C
tropics,zos,0.0,0.0,0.0,0.0,,,,C
extratropics,so,0.004224215188886021,0.0016970494083737371,0.0004921876990077474,0.0020349780815044475,0.40174312445982907,0.11651577322639746,0.48174110231375233,D
extratropics,sst,0.0,0.0,0.0,0.0,,,,D
extratropics,thetao,0.0044737498178076445,0.0023096538706127664,0.00042488207759492665,0.0017392138695998612,0.5162679999268733,0.0949722480912309,0.3887597519818756,D
extratropics,uo,0.13053552280354444,0.009948474558306612,0.01232737814429768,0.10825967010094009,0.07621277599109198,0.09443696152234626,0.8293502624865613,D
extratropics,vo,0.1397352991950968,0.009317724593121884,0.012551077423157642,0.11786649717881717,0.06668125124284155,0.0898203782111918,0.8434983705459659,D
extratropics,zos,0.0,0.0,0.0,0.0,,,,D
global,so,0.004150966518718384,0.0015293153390552527,0.0005272802022817106,0.002094370977381305,0.3684239157697255,0.12702588659869726,0.5045501976315494,D
global,sst,0.0,0.0,0.0,0.0,,,,D
global,thetao,0.0038001030664736946,0.0018184567546106335,0.0003870738131360022,0.0015945724987269667,0.47852827220764577,0.10185876708212215,0.4196129607102078,D
global,uo,0.15492748086072125,0.010330512796745564,0.014099088813638357,0.13049787925033723,0.0666796667663668,0.09100444114439156,0.8423158920892411,D
global,vo,0.15863951951397928,0.008687465296533442,0.015239700582365217,0.13471235363508052,0.05476230212464747,0.09606496936611245,0.8491727285092394,D
global,zos,0.0,0.0,0.0,0.0,,,,D
tropics,so,0.004059323538158826,0.0012655062629091105,0.000587743213960521,0.002206074061289086,0.311752993081971,0.14478846251981722,0.5434585443981851,D
tropics,sst,0.0,0.0,0.0,0.0,,,,D
tropics,thetao,0.002722389804402267,0.0010312866073504334,0.0003255603219663086,0.0013655428750854388,0.37881665795353087,0.11958622583726185,0.5015971162091756,D
tropics,uo,0.19644769318184344,0.011087877663319696,0.017106217420346834,0.16825359809817678,0.056441882741051635,0.08707772101203715,0.8564803962469105,D
