reference,candidate,region,lead_days,variable,origins,years,bootstrap_draws,reference_rmse,candidate_rmse,candidate_minus_reference_rmse,difference_ci_low,difference_ci_high,rmse_reduction_percent,reduction_ci_low,reduction_ci_high
C,B,tropics,25,zos,99,9,4000,0.028215836397570207,0.028940665102387565,0.0007248287048173575,0.0005542168611937308,0.0008475250284540355,-2.5688719434160623,-2.9825528334826084,-1.9856186740321384
C,B,tropics,30,so,99,9,4000,0.06999827637686239,0.07350540764869662,0.0035071312718342323,0.0031394403890891848,0.003832633328870216,-5.010310901017423,-5.524807661273441,-4.424832802028935
C,B,tropics,30,sst,99,9,4000,0.037325052079924044,0.03797244843470721,0.0006473963547831627,0.0005318844747334882,0.0007959991606205959,-1.7344821204720473,-2.1299230822982684,-1.4318730136530355
C,B,tropics,30,thetao,99,9,4000,0.05978118059527559,0.06400925178864698,0.004228071193371395,0.003866979750530031,0.004604527954614078,-7.072578947538433,-7.770120445234005,-6.402591276900986
C,B,tropics,30,ts,99,9,4000,0.065090507176917,0.06892107539839848,0.0038305682214814785,0.0035204475410745735,0.004141271076242646,-5.884987516028928,-6.426101587736384,-5.339351565818119
C,B,tropics,30,uo,99,9,4000,0.5263855158361851,0.5271080213924211,0.0007225055562359861,2.0077210284549794e-05,0.0012763846783048816,-0.13725787174980741,-0.24331499897168754,-0.003806523883845511
C,B,tropics,30,vo,99,9,4000,0.538888682910385,0.5378397230699772,-0.0010489598404078704,-0.002069451677152864,-0.0002579360359380303,0.19465241592061533,0.047558988838174214,0.3830076800727711
C,B,tropics,30,zos,99,9,4000,0.03026373068983169,0.031110983604908233,0.000847252915076542,0.0006426878778935559,0.0010354739823757477,-2.7995653403075416,-3.435912441373764,-2.1214343527356894
C,D,extratropics,0,so,99,9,4000,0.06772532688875063,0.06499396383622844,-0.0027313630525221955,-0.003056316065808384,-0.002411568854161522,4.033000914132002,3.5089646210599574,4.5541359126113425
C,D,extratropics,0,sst,99,9,4000,0.0,0.0,0.0,0.0,0.0,,,
C,D,extratropics,0,thetao,99,9,4000,0.06806104730422091,0.06688609647299677,-0.0011749508312241391,-0.0015520823041892326,-0.0007524277888595408,1.726319058788961,1.1090270996361762,2.2939932011291173
C,D,extratropics,0,ts,99,9,4000,0.0678933946063073,0.06594681658935479,-0.0019465780169525132,-0.002263496868101104,-0.001622428684558665,2.867109574120008,2.3592319609152366,3.357257809641552
C,D,extratropics,0,uo,99,9,4000,0.412122416012588,0.36129700273732784,-0.050825413275260134,-0.05261706383747439,-0.04916933089268653,12.332601018651633,11.985620805227365,12.704784607961965
C,D,extratropics,0,vo,99,9,4000,0.4130786934727809,0.373811852212306,-0.039266841260474916,-0.04035791204733882,-0.03816315551055675,9.505898483980346,9.25295151118673,9.762066966956668
C,D,extratropics,0,zos,99,9,4000,0.0,0.0,0.0,0.0,0.0,,,
C,D,extratropics,5,so,99,9,4000,0.06899376301608053,0.06622511646898624,-0.002768646547094286,-0.003086571554307943,-0.00245342992513687,4.012893957456698,3.5052496214096527,4.508367849100586
C,D,extratropics,5,sst,99,9,4000,0.025250236865870843,0.02622105906802732,0.0009708222021564787,0.0008358080356321533,0.0011177118319055492,-3.8448043371374307,-4.447341781008182,-3.3073048435964787
C,D,extratropics,5,thetao,99,9,4000,0.06875419711683904,0.06734721240533166,-0.0014069847115073808,-0.0017713744134191674,-0.0009918674394310974,2.0463982862259145,1.441464275834583,2.6007689479049483
C,D,extratropics,5,ts,99,9,4000,0.06887408422730658,0.06678852098264956,-0.0020855632446570155,-0.0023984163988790943,-0.0017540654474542377,3.0280812704151394,2.5231842090663874,3.5062620199826227
C,D,extratropics,5,uo,99,9,4000,0.4174647254143018,0.3812855455706871,-0.036179179843614684,-0.037650975419261545,-0.034836829754200556,8.666404043529575,8.40235534548441,8.945847186266624
C,D,extratropics,5,vo,99,9,4000,0.4348878808150537,0.41401651966057346,-0.02087136115448024,-0.022005478375370705,-0.019806327606885443,4.7992510426742125,4.577108164184909,5.033628641130453
C,D,extratropics,5,zos,99,9,4000,0.036702967732816255,0.03606310195381301,-0.0006398657790032472,-0.0009917810843573498,-0.00030006295574842385,1.7433625086157312,0.8289086157606825,2.6468792304979196
C,D,extratropics,10,so,99,9,4000,0.06963699089812699,0.06708262307721159,-0.002554367820915393,-0.002860540622224149,-0.0022447118399948744,3.668119182019536,3.180064142532017,4.134005784048593
C,D,extratropics,10,sst,99,9,4000,0.03130968204629786,0.03216472256073117,0.0008550405144333098,0.0007373983365109694,0.0009556494308107117,-2.730914076894675,-3.04601798836568,-2.3713907754319474
C,D,extratropics,10,thetao,99,9,4000,0.06968366390044053,0.06826531105176069,-0.0014183528486798463,-0.0017796520595045149,-0.0010111849103171219,2.035416580141791,1.4514386121115732,2.5741108714965466
