region,variable,box_width_cells,predicted_anomaly_second_moment,target_anomaly_second_moment,anomaly_cross_moment,anomaly_mse,anomaly_rms_ratio,anomaly_correlation,run
extratropics,sst,9,0.001001836462158,0.001001836462158,0.001001836462158,0.0,1.0,1.0,A-joint
extratropics,thetao,0,0.005221706155769045,0.008439573906043206,0.004131975376150895,0.005397329315504306,0.7865855321820899,0.6224310509357387,A-joint
extratropics,thetao,3,0.0012667041501995,0.0014739693815193037,0.0008476701084672857,0.0010453333177467834,0.9270290969218798,0.6203617908856915,A-joint
extratropics,thetao,9,0.002807454725835317,0.0035871181333156665,0.0019639991483941504,0.002466574558459261,0.8846745646175531,0.6188880182200881,A-joint
extratropics,uo,0,0.37969276033329996,0.47577047637965314,0.3237102215734331,0.2080427946949626,0.8933413032779227,0.7616255600210708,A-joint
extratropics,uo,3,0.25864590938138177,0.35889915138847456,0.22043473763883523,0.17667558558526852,0.8489196598445572,0.7235041255508623,A-joint
extratropics,uo,9,0.3641718518996986,0.4573543696153804,0.312498270047275,0.19652968264842907,0.8923326234044154,0.7657165145136721,A-joint
extratropics,vo,0,0.6479774482671027,0.7347522544486924,0.5889784300156188,0.2047728456315178,0.939094899957912,0.853589336005548,A-joint
extratropics,vo,3,0.37614081235149954,0.4512844520607633,0.3421081875048375,0.1432088911810623,0.912956412686363,0.8303535627056103,A-joint
extratropics,vo,9,0.6322276425260233,0.7155817991428588,0.5790930274776929,0.18962338685014976,0.9399550755072295,0.8609579742412165,A-joint
extratropics,zos,0,0.0081600304269655,0.0081600304269655,0.0081600304269655,0.0,1.0,1.0,A-joint
extratropics,zos,3,0.00188648299728,0.00188648299728,0.00188648299728,0.0,1.0,1.0,A-joint
extratropics,zos,9,0.0045925453399317,0.0045925453399317,0.0045925453399317,0.0,1.0,1.0,A-joint
global,so,0,0.0034172266025708628,0.005848825363852453,0.001865505004038867,0.005535041964944579,0.7643681144153213,0.4172777249529695,A-joint
global,so,3,0.0006719366529556632,0.0008034343685033046,0.00020059073888310298,0.0010741895410382896,0.9145110619127917,0.2730055710146864,A-joint
global,so,9,0.0016270627871922422,0.0023167754722177142,0.0006149681847496392,0.0027139018963758684,0.8380311905371983,0.3167440888360434,A-joint
global,sst,0,0.0046924494719603,0.0046924494719603,0.0046924494719603,0.0,1.0,1.0,A-joint
global,sst,3,0.000248875714882,0.000248875714882,0.000248875714882,0.0,1.0,1.0,A-joint
global,sst,9,0.0007781343084214,0.0007781343084214,0.0007781343084214,0.0,1.0,1.0,A-joint
global,thetao,0,0.004807304739758661,0.007122614420689051,0.003567456324348505,0.004795006523101473,0.8215445318339865,0.6096605883096611,A-joint
global,thetao,3,0.001002940873582539,0.001031713265675866,0.0005459793849016035,0.0009426953701855666,0.985957416228393,0.5367339569367453,A-joint
