reference,candidate,region,lead_days,variable,origins,years,bootstrap_draws,reference_rmse,candidate_rmse,candidate_minus_reference_rmse,difference_ci_low,difference_ci_high,rmse_reduction_percent,reduction_ci_low,reduction_ci_high
A-s2718,D-s2718,extratropics,15,vo,99,9,4000,0.5180303254422899,0.500659071649867,-0.01737125379242288,-0.01829180442790207,-0.01653350763653386,3.3533275832049902,3.195039853653636,3.5195641667358144
A-s2718,D-s2718,extratropics,15,zos,99,9,4000,0.046208755745826606,0.04492880881218087,-0.0012799469336457342,-0.0015261148404464727,-0.0010329912070464683,2.769922957212134,2.2280919874149885,3.2986730165282574
A-s2718,D-s2718,extratropics,20,so,99,9,4000,0.07753357088840654,0.06934976456959258,-0.008183806318813963,-0.008973209363588957,-0.007376931449021069,10.555177873327736,9.395182584643027,11.70516090492913
A-s2718,D-s2718,extratropics,20,sst,99,9,4000,0.04137359372358562,0.040843643726725644,-0.0005299499968599783,-0.0006311980764034731,-0.0004196354551394216,1.2808894494409695,1.014231818174897,1.5274971972978668
A-s2718,D-s2718,extratropics,20,thetao,99,9,4000,0.07690928335389438,0.0707019600767165,-0.006207323277177879,-0.006985935300168974,-0.00522973123793201,8.070967517165872,6.682116096516029,9.235167110654523
A-s2718,D-s2718,extratropics,20,ts,99,9,4000,0.07722205799095609,0.0700291260996006,-0.007192931891355489,-0.007953737642011774,-0.0063049129245198714,9.314607870458325,8.033874681665154,10.467578049431697
A-s2718,D-s2718,extratropics,20,uo,99,9,4000,0.4765686137752367,0.4524261767589304,-0.024142437016306306,-0.025530247236176182,-0.02293078373809403,5.065889007053359,4.841204436298509,5.311300615753449
A-s2718,D-s2718,extratropics,20,vo,99,9,4000,0.5493210117404582,0.5339732765646241,-0.015347735175834099,-0.016432242065583795,-0.014399060298470157,2.793946499007316,2.632787957493654,2.984001225851983
A-s2718,D-s2718,extratropics,20,zos,99,9,4000,0.049276361911534554,0.047820884817090396,-0.0014554770944441575,-0.0016593458802854654,-0.001271175393480138,2.953702420355553,2.5883324967675576,3.345597426580263
A-s2718,D-s2718,extratropics,25,so,99,9,4000,0.07829023796001115,0.07054387291098321,-0.0077463650490279395,-0.008503492728627939,-0.006971345422758389,9.894420110186154,8.79519949443526,10.98185139931248
A-s2718,D-s2718,extratropics,25,sst,99,9,4000,0.0447946100071468,0.04428377979238324,-0.0005108302147635649,-0.000597843287269389,-0.0004235336034617201,1.1403832172711459,0.9469098910913295,1.335159022903975
A-s2718,D-s2718,extratropics,25,thetao,99,9,4000,0.07808659518033206,0.07217667648226758,-0.005909918698064481,-0.006660459870453482,-0.004956712880333024,7.568416428474311,6.249610558834962,8.662432511787822
A-s2718,D-s2718,extratropics,25,ts,99,9,4000,0.07818848286893737,0.07136494459223962,-0.006823538276697752,-0.007553702774523963,-0.00596879815912987,8.72703757167873,7.523485017631175,9.806323368003692
