region,variable,box_width_cells,predicted_anomaly_second_moment,target_anomaly_second_moment,anomaly_cross_moment,anomaly_mse,anomaly_rms_ratio,anomaly_correlation,run
extratropics,zos,0,0.0081600304269655,0.0081600304269655,0.0081600304269655,0.0,1.0,1.0,A-s2718
extratropics,zos,3,0.00188648299728,0.00188648299728,0.00188648299728,0.0,1.0,1.0,A-s2718
extratropics,zos,9,0.0045925453399317,0.0045925453399317,0.0045925453399317,0.0,1.0,1.0,A-s2718
global,so,0,0.0036004034708924893,0.005848825363852453,0.0019260629663853557,0.005597102905983515,0.784587272425988,0.4197208733782265,A-s2718
global,so,3,0.0007312267082154263,0.0008034343685033046,0.00020853255465406304,0.0011175959643578526,0.9540053716380724,0.2720649766567007,A-s2718
global,so,9,0.0017287700404918789,0.0023167754722177142,0.0006174309083857903,0.002810683696380805,0.8638267337649167,0.3085160619538792,A-s2718
global,sst,0,0.0046924494719603,0.0046924494719603,0.0046924494719603,0.0,1.0,1.0,A-s2718
global,sst,3,0.000248875714882,0.000248875714882,0.000248875714882,0.0,1.0,1.0,A-s2718
global,sst,9,0.0007781343084214,0.0007781343084214,0.0007781343084214,0.0,1.0,1.0,A-s2718
global,thetao,0,0.00510316679798225,0.007122614420689051,0.0036548741541087113,0.004916032908199989,0.8464477686182045,0.6062235852351276,A-s2718
global,thetao,3,0.0010756805724451222,0.001031713265675866,0.0005612551334398597,0.0009848835707435802,1.0210856085310438,0.5327692571103385,A-s2718
global,thetao,9,0.0024611001800824554,0.002720648763092356,0.0014083672031961628,0.002365014537024361,0.951104873886807,0.544270778582172,A-s2718
global,uo,0,0.3554275954565046,0.46828191182766743,0.3028121688529445,0.21808516985158977,0.871208051389808,0.7422394966959712,A-s2718
global,uo,3,0.18400445363817536,0.2631157381952221,0.1559924350567221,0.13513532225072283,0.8362589029286641,0.7089505717194275,A-s2718
global,uo,9,0.312457095096873,0.4154731379599092,0.2648012100984795,0.1983278124736288,0.8672088881363605,0.7349423859793266,A-s2718
global,vo,0,0.5162571341924247,0.6227195203969733,0.46341865095035123,0.2121393527283052,0.91051434671803,0.8173239695506783,A-s2718
global,vo,3,0.26312247659775373,0.33125217580560795,0.2383909888945793,0.11759267455676904,0.8912501261216885,0.8074794736877361,A-s2718
global,vo,9,0.4924807572526414,0.5910971056331288,0.4461840982056247,0.19120966762716243,0.9127781103637468,0.8269705405475478,A-s2718
global,zos,0,0.0068097473357361,0.0068097473357361,0.0068097473357361,0.0,1.0,1.0,A-s2718
global,zos,3,0.001248119915177,0.001248119915177,0.001248119915177,0.0,1.0,1.0,A-s2718
global,zos,9,0.0032416057603603,0.0032416057603603,0.0032416057603603,0.0,1.0,1.0,A-s2718
tropics,so,0,0.0032197369722202474,0.00556262085767442,0.0016533521732606618,0.005475653509982173,0.7607999359395762,0.39067484032239924,A-s2718
tropics,so,3,0.0004908184422208157,0.0005817810999804177,6.148268996618704e-05,0.0009496341635909052,0.9185031121184711,0.11505688706365179,A-s2718
tropics,so,9,0.0013636728652872843,0.002007177723696619,0.00032663477348382643,0.002717581049830968,0.8242561291759594,0.19743057216976034,A-s2718
tropics,sst,0,0.0035379888146476,0.0035379888146476,0.0035379888146476,0.0,1.0,1.0,A-s2718
tropics,sst,3,7.860092261001806e-05,7.860092261001806e-05,7.860092261001806e-05,0.0,1.0,1.0,A-s2718
tropics,sst,9,0.0003904461821851,0.0003904461821851,0.0003904461821851,0.0,1.0,1.0,A-s2718
tropics,thetao,0,0.004270332454370261,0.005018571690612044,0.002648047684337124,0.003992808771539267,0.922445629025401,0.5720116730883036,A-s2718
tropics,thetao,3,0.0005993329265062499,0.000303547318987435,4.913408482051678e-05,0.0008046120762559697,1.4051441130765525,0.1151955231951255,A-s2718
tropics,thetao,9,0.0015410304103293446,0.0013055355775087021,0.00041627106592145526,0.0020140238564545776,1.0864537639246852,0.2934784825476937,A-s2718
tropics,uo,0,0.32277431628572245,0.46313475221316275,0.2613166074633919,0.26327585362012806,0.8348256797360829,0.675871045014752,A-s2718
tropics,uo,3,0.05854884491008461,0.10718101578537353,0.03942810055237939,0.08687365966106837,0.7390949440437022,0.4977230518597468,A-s2718
tropics,uo,9,0.23168907541502415,0.351497530172728,0.1774522943444107,0.2282820168104278,0.8118796191975103,0.6218243173528685,A-s2718
