model,mode,region,lead_days,variable,normalized_rmse,levels,origins
ar,inferred,tropics,25,uo,0.5174893701818544,19,99
ar,inferred,tropics,25,vo,0.525670416872977,19,99
ar,inferred,tropics,25,zos,0.027022239495629038,1,99
ar,inferred,tropics,30,so,0.07190940387605663,19,99
ar,inferred,tropics,30,sst,0.03709474231186874,1,99
ar,inferred,tropics,30,thetao,0.06115164348467429,18,99
ar,inferred,tropics,30,uo,0.5239573764017267,19,99
ar,inferred,tropics,30,vo,0.5377521986625314,19,99
ar,inferred,tropics,30,zos,0.028840716887492603,1,99
ar,inferred_persistence,extratropics,5,so,0.0750230483457195,19,99
ar,inferred_persistence,extratropics,5,sst,0.02841371515891395,1,99
ar,inferred_persistence,extratropics,5,thetao,0.07450483570399585,18,99
ar,inferred_persistence,extratropics,5,uo,0.48843714945736544,19,99
ar,inferred_persistence,extratropics,5,vo,0.5395420263624405,19,99
ar,inferred_persistence,extratropics,5,zos,0.044239142706359126,1,99
ar,inferred_persistence,extratropics,10,so,0.07585742632263599,19,99
ar,inferred_persistence,extratropics,10,sst,0.04839705684238154,1,99
ar,inferred_persistence,extratropics,10,thetao,0.07710801127043894,18,99
ar,inferred_persistence,extratropics,10,uo,0.5580372001656849,19,99
ar,inferred_persistence,extratropics,10,vo,0.6756550862889259,19,99
ar,inferred_persistence,extratropics,10,zos,0.057149076569035326,1,99
ar,inferred_persistence,extratropics,15,so,0.07700328551072483,19,99
ar,inferred_persistence,extratropics,15,sst,0.06619737185139715,1,99
ar,inferred_persistence,extratropics,15,thetao,0.08025818832298576,18,99
ar,inferred_persistence,extratropics,15,uo,0.611453925223776,19,99
ar,inferred_persistence,extratropics,15,vo,0.7797794445550162,19,99
ar,inferred_persistence,extratropics,15,zos,0.06527392507630105,1,99
ar,inferred_persistence,extratropics,20,so,0.0782997934255557,19,99
ar,inferred_persistence,extratropics,20,sst,0.08281777731706629,1,99
ar,inferred_persistence,extratropics,20,thetao,0.08368614887328545,18,99
ar,inferred_persistence,extratropics,20,uo,0.6532493530564671,19,99
ar,inferred_persistence,extratropics,20,vo,0.8599024472739332,19,99
ar,inferred_persistence,extratropics,20,zos,0.07204113061913052,1,99
ar,inferred_persistence,extratropics,25,so,0.07973472738102305,19,99
ar,inferred_persistence,extratropics,25,sst,0.09923927421500993,1,99
ar,inferred_persistence,extratropics,25,thetao,0.08730350146766944,18,99
ar,inferred_persistence,extratropics,25,uo,0.6880178845220025,19,99
ar,inferred_persistence,extratropics,25,vo,0.923295317879036,19,99
ar,inferred_persistence,extratropics,25,zos,0.07708215280329067,1,99
