model,mode,region,lead_days,predicted_mean_component_second_moment,target_mean_component_second_moment,second_moment_ratio,rms_amplitude_ratio,levels,origins
direct,inferred,global,10,0.0031089429156578945,0.004546820495526315,0.6837619648096577,0.8268990052053864,19,99
direct,true,global,10,0.003127712547394737,0.004546820457105263,0.687890049079703,0.8293913726822235,19,99
direct,inferred_persistence,global,10,0.004233764141605263,0.0045468205536842105,0.9311482807859476,0.9649602482931344,19,99
direct,climatology,global,10,0.0026317728095789474,0.004546820457105263,0.5788160835482973,0.7607996342982147,19,99
direct,inferred,global,15,0.0033175232909473684,0.004546404415,0.7297026370997328,0.8542263383317871,19,99
direct,true,global,15,0.003336079473026316,0.004546404345,0.7337841555371635,0.8566120215927182,19,99
direct,inferred_persistence,global,15,0.004233764141605263,0.004546404459473684,0.9312335009664726,0.9650044046357885,19,99
direct,climatology,global,15,0.002631772799605263,0.004546404345,0.5788690578082014,0.7608344483579864,19,99
direct,inferred,global,20,0.0034453001543157894,0.004543696308157895,0.7582593379161344,0.8707808782444263,19,99
direct,true,global,20,0.0034687331272105267,0.0045436962526315796,0.7634165961691509,0.8737371436359741,19,99
direct,inferred_persistence,global,20,0.004233764141605263,0.004543696220789473,0.9317885562493965,0.9652919538923944,19,99
direct,climatology,global,20,0.0026317728801315793,0.0045436962526315796,0.5792140877831196,0.7610611590293644,19,99
direct,inferred,global,25,0.0034092055715526314,0.004537481600789473,0.7513431175036536,0.8668005061740871,19,99
direct,true,global,25,0.0034401313034210525,0.004537481590789473,0.7581587351018887,0.8707231104673223,19,99
direct,inferred_persistence,global,25,0.0042337642076578945,0.004537481600789473,0.9330647659091917,0.9659527762314221,19,99
direct,climatology,global,25,0.0026315290441842106,0.004537481590789473,0.5799536574486361,0.7615468846030664,19,99
direct,inferred,global,30,0.0031703684979210527,0.004534082273684211,0.6992304741186225,0.8362000204009938,19,99
direct,true,global,30,0.003221568925236842,0.004534082373421053,0.7105228048175283,0.8429251478141628,19,99
direct,inferred_persistence,global,30,0.0042337642076578945,0.004534082273684211,0.9337643104163856,0.9663148091674812,19,99
direct,climatology,global,30,0.002636349682210526,0.004534082373421053,0.5814516510914973,0.7625297706263653,19,99
direct,inferred,tropics,5,0.0038889973334999997,0.0065325211153947375,0.5953287046152933,0.771575469163771,19,99
direct,true,tropics,5,0.003900501906394737,0.006532521045657895,0.597089833945099,0.7727158817735655,19,99
direct,inferred_persistence,tropics,5,0.006081339063868421,0.0065325211153947375,0.9309329363722917,0.9648486598282093,19,99
direct,climatology,tropics,5,0.004146633100184211,0.006532521045657895,0.634767660326244,0.7967230763108623,19,99
direct,inferred,tropics,10,0.004307106728736842,0.006590176349052632,0.6535647152076602,0.8084334946102,19,99
direct,true,tropics,10,0.00430528079568421,0.006590176326210527,0.6532876485506461,0.8082621162411647,19,99
direct,inferred_persistence,tropics,10,0.006081339063868421,0.006590176349052632,0.9227885176005405,0.9606188201365516,19,99
direct,climatology,tropics,10,0.004132755066736843,0.006590176326210527,0.6271084204985533,0.7919017745267106,19,99
direct,inferred,tropics,15,0.004669948064315789,0.006606992144157895,0.7068190732518277,0.8407253256871876,19,99
direct,true,tropics,15,0.004646835615973684,0.006606992164026316,0.7033208910515631,0.8386422902832668,19,99
direct,inferred_persistence,tropics,15,0.006081339063868421,0.006606992144157895,0.9204398811410314,0.9593955811556729,19,99
direct,climatology,tropics,15,0.004132755084473684,0.006606992164026316,0.6255123332786237,0.7908933766814739,19,99
direct,inferred,tropics,20,0.004925300904447368,0.006590651329157894,0.7473162603303257,0.8644745573643713,19,99
direct,true,tropics,20,0.004892389963342105,0.00659065121381579,0.742322693861622,0.8615815073814096,19,99
direct,inferred_persistence,tropics,20,0.006081339063868421,0.006590651329157894,0.9227220133712415,0.9605842042066075,19,99
direct,climatology,tropics,20,0.004132755103657895,0.00659065121381579,0.6270632399715708,0.7918732474149955,19,99
direct,inferred,tropics,25,0.004877520794684211,0.00657904164268421,0.7413725371548509,0.8610299281412063,19,99
direct,true,tropics,25,0.004852384918973684,0.0065790414475,0.7375519606762113,0.8588084540083495,19,99
direct,inferred_persistence,tropics,25,0.006081339063868421,0.006579041613131578,0.9243502962088342,0.9614313788351377,19,99
direct,climatology,tropics,25,0.004132092236973684,0.006579041533868421,0.628069030375014,0.7925080632870647,19,99
direct,inferred,tropics,30,0.004362135899868422,0.006557430108921053,0.6652203420260561,0.8156104106900892,19,99
direct,true,tropics,30,0.004363857276105263,0.006557430159447368,0.6654828446503851,0.8157713188451682,19,99
direct,inferred_persistence,tropics,30,0.006081339063868421,0.006557430284657895,0.9273966782531624,0.963014370740729,19,99
direct,climatology,tropics,30,0.00414518299768421,0.0065574302769210524,0.6321352759591249,0.7950693529240861,19,99
direct,inferred,extratropics,5,0.0022479238677631575,0.0033696952363157892,0.6671000521165513,0.8167619311136822,19,99
direct,true,extratropics,5,0.0022682065174473684,0.003369695195263158,0.6731191950642383,0.8204384163751953,19,99
direct,inferred_persistence,extratropics,5,0.0031731014307894738,0.0033696952363157892,0.9416582830970617,0.9703907888562534,19,99
direct,climatology,extratropics,5,0.0017665805346052633,0.003369695195263158,0.5242552908312235,0.7240547567906888,19,99
direct,inferred,extratropics,10,0.002421678484736842,0.003372561484473684,0.7180531758681236,0.8473801837830075,19,99
direct,true,extratropics,10,0.0024520276740526317,0.0033725615134210527,0.7270520238978083,0.8526734567803834,19,99
direct,inferred_persistence,extratropics,10,0.0031731014307894738,0.003372561484473684,0.9408579933672173,0.969978346854824,19,99
