index,date,members,mean_mse,sample_mse,d_mse,climatology_mse,crps,d_mae,spread_variance,coverage90,anomaly_correlation,mean_anomaly_m2,sample_anomaly_m2,truth_anomaly_m2,run,climatology_mae,fair_crps,coverage_minmax,calibrated_minmax_reference,calibrated_spread_rmse_reference,specialist_mse,specialist_mae
90,2016-01-28 12:00:00,16,0.0013794027954984,0.0016200437720911,0.0019603353570926,0.0029009421195184,0.0208089222897123,0.0316258653391194,0.0002406410351419,0.3445731103420257,0.729061745187965,0.00135744752513,0.0015980885017226,0.0029009421195184,diffusion,0.03505837025172666,0.020411117792779283,0.42245884281436474,0.8823529411764706,0.9393364366277243,0.001320186743683418,0.024342958729646896
96,2016-02-27 12:00:00,16,0.0013964622937417,0.0016387226258013,0.0019723573939985,0.0028659179514533,0.0206212419795925,0.0314888671668001,0.0002422603613342,0.3658488392829895,0.7166328867721001,0.0013462403768417,0.0015885009430984,0.0028659179514533,diffusion,0.03486700328312103,0.020219200655262594,0.4420399067370795,0.8823529411764706,0.9393364366277243,0.0013055903339030902,0.024548563320344465
102,2016-03-28 12:00:00,16,0.0013591640723706,0.0015968688035128,0.0019085607137849,0.0028177988898195,0.0204670424207418,0.0310870004014109,0.0002377048775153,0.3701870441436767,0.7228502563334347,0.0013446467830497,0.0015823516312904,0.0028177988898195,diffusion,0.034669882415104,0.02006724633258065,0.45026177651664057,0.8823529411764706,0.9393364366277243,0.0013091120352014558,0.024535632441550118
108,2016-04-27 12:00:00,16,0.0012899764103803,0.0015151273602261,0.0018389479841582,0.0027848026339662,0.0195491234918261,0.0306702782533669,0.0002251509791204,0.3672209084033966,0.7347724920220392,0.0013790565351675,0.0016042074850133,0.0027848026339662,diffusion,0.03453268959577911,0.019159891344218024,0.4491821297041838,0.8823529411764706,0.9393364366277243,0.0012883467076207646,0.02414442185089574
114,2016-05-27 12:00:00,16,0.0013629906178872,0.0015871777297947,0.0019607928610198,0.0027564516764986,0.0205607200991818,0.0316259313865259,0.0002241871265448,0.3506591618061065,0.7160822875807525,0.0013496753448993,0.0015738623397083,0.0027564516764986,diffusion,0.03448976293107074,0.02016964648546778,0.4301291149477606,0.8823529411764706,0.9393364366277243,0.0012769145224973367,0.024438918971538267
120,2016-06-26 12:00:00,16,0.0013071548807224,0.0015328033821901,0.0018811255838613,0.0026743033158464,0.0196908334861204,0.0308501623276313,0.0002256483258199,0.3646600246429443,0.7179064627051708,0.0013383577727044,0.0015640060399751,0.0026743033158464,diffusion,0.03423534561233677,0.019295959504406303,0.4467928185910637,0.8823529411764706,0.9393364366277243,0.001256798768049351,0.02414770400486515
126,2016-07-26 12:00:00,16,0.0013492219394204,0.0015751031156522,0.0019328437856812,0.0027501920578824,0.0195674463633187,0.0307894647611195,0.0002258813226049,0.3847177922725677,0.7154902729917865,0.0012678130559375,0.0014936944663663,0.0027501920578824,diffusion,0.03461867584329546,0.019172384480006553,0.466934653300882,0.8823529411764706,0.9393364366277243,0.0012499468197852731,0.02402704996615326
132,2016-08-25 12:00:00,16,0.0012327161696899,0.0014594946718993,0.0018301165306935,0.0026828620468523,0.0185604123107994,0.029940953730676,0.0002267783411988,0.39773690700531,0.7370409672690215,0.0013364889973846,0.0015632672653969,0.0026828620468523,diffusion,0.03409079127266909,0.018166002029058027,0.48380770769136916,0.8823529411764706,0.9393364366277243,0.001242820270243558,0.02374453294627403
138,2016-09-24 12:00:00,16,0.0013308188527305,0.001563531322565,0.0018428418613253,0.0027563584660747,0.0199172030459804,0.0303356081192827,0.0002327127040315,0.3594867587089538,0.7228593396945906,0.001379460759267,0.0016121735803971,0.0027563584660747,diffusion,0.034641003226389334,0.019518904022552862,0.4404958357840201,0.8823529411764706,0.9393364366277243,0.001273465059031983,0.024043614394723696
144,2016-10-24 12:00:00,16,0.0012985291693616,0.0015255670447982,0.0018689597499698,0.0028121331949093,0.0193891619572381,0.0305321784103083,0.0002270378315246,0.3931471705436706,0.7355393620979398,0.0014719696458901,0.0016990074042281,0.0028121331949093,diffusion,0.035128756198084296,0.01899224204428514,0.476063471782993,0.8823529411764706,0.9393364366277243,0.001241864948403112,0.02366128768687065
