run,date,rank,weight,calibrated_reference
diffusion,2017-06-22 12:00:00,2,0.04526745449408054,0.058823529411764705
diffusion,2017-06-22 12:00:00,3,0.032852325336193644,0.058823529411764705
diffusion,2017-06-22 12:00:00,4,0.030176815552522385,0.058823529411764705
diffusion,2017-06-22 12:00:00,5,0.026628169256980527,0.058823529411764705
diffusion,2017-06-22 12:00:00,6,0.025006271043594097,0.058823529411764705
diffusion,2017-06-22 12:00:00,7,0.023586083451789364,0.058823529411764705
diffusion,2017-06-22 12:00:00,8,0.022899256797018097,0.058823529411764705
diffusion,2017-06-22 12:00:00,9,0.022769384341415844,0.058823529411764705
diffusion,2017-06-22 12:00:00,10,0.022306282370891495,0.058823529411764705
diffusion,2017-06-22 12:00:00,11,0.024788621219727247,0.058823529411764705
diffusion,2017-06-22 12:00:00,12,0.025556949447832267,0.058823529411764705
diffusion,2017-06-22 12:00:00,13,0.028945642822350237,0.058823529411764705
diffusion,2017-06-22 12:00:00,14,0.03455135455942582,0.058823529411764705
diffusion,2017-06-22 12:00:00,15,0.048501342118925095,0.058823529411764705
diffusion,2017-06-22 12:00:00,16,0.21991518770937546,0.058823529411764705
diffusion,2017-07-22 12:00:00,0,0.27950227552651086,0.058823529411764705
diffusion,2017-07-22 12:00:00,1,0.06130951065745194,0.058823529411764705
diffusion,2017-07-22 12:00:00,2,0.041941022905234604,0.058823529411764705
diffusion,2017-07-22 12:00:00,3,0.03158822622788193,0.058823529411764705
diffusion,2017-07-22 12:00:00,4,0.02804517407764706,0.058823529411764705
diffusion,2017-07-22 12:00:00,5,0.024791648873019767,0.058823529411764705
diffusion,2017-07-22 12:00:00,6,0.02384857758789849,0.058823529411764705
diffusion,2017-07-22 12:00:00,7,0.022767339775214168,0.058823529411764705
diffusion,2017-07-22 12:00:00,8,0.024249248781359256,0.058823529411764705
diffusion,2017-07-22 12:00:00,9,0.023854546603160998,0.058823529411764705
diffusion,2017-07-22 12:00:00,10,0.02450953031438985,0.058823529411764705
diffusion,2017-07-22 12:00:00,11,0.024759462408383115,0.058823529411764705
diffusion,2017-07-22 12:00:00,12,0.027210478547658568,0.058823529411764705
diffusion,2017-07-22 12:00:00,13,0.030001582229033374,0.058823529411764705
diffusion,2017-07-22 12:00:00,14,0.03710342869271699,0.058823529411764705
diffusion,2017-07-22 12:00:00,15,0.05530643450720163,0.058823529411764705
diffusion,2017-07-22 12:00:00,16,0.23921152237380738,0.058823529411764705
diffusion,2017-08-21 12:00:00,0,0.2565976023254848,0.058823529411764705
diffusion,2017-08-21 12:00:00,1,0.057893391837467334,0.058823529411764705
diffusion,2017-08-21 12:00:00,2,0.041341240518136146,0.058823529411764705
diffusion,2017-08-21 12:00:00,3,0.03303895743306384,0.058823529411764705
diffusion,2017-08-21 12:00:00,4,0.02921685202716162,0.058823529411764705
diffusion,2017-08-21 12:00:00,5,0.024034827405046144,0.058823529411764705
diffusion,2017-08-21 12:00:00,6,0.024944876233860214,0.058823529411764705
diffusion,2017-08-21 12:00:00,7,0.025443232404825267,0.058823529411764705
diffusion,2017-08-21 12:00:00,8,0.022869837681810168,0.058823529411764705
diffusion,2017-08-21 12:00:00,9,0.026026706043751346,0.058823529411764705
diffusion,2017-08-21 12:00:00,10,0.02534764895506214,0.058823529411764705
diffusion,2017-08-21 12:00:00,11,0.026658435729700614,0.058823529411764705
diffusion,2017-08-21 12:00:00,12,0.029702766000468728,0.058823529411764705
diffusion,2017-08-21 12:00:00,13,0.03366668793046301,0.058823529411764705
diffusion,2017-08-21 12:00:00,14,0.04016753739097112,0.058823529411764705
diffusion,2017-08-21 12:00:00,15,0.055339106318569975,0.058823529411764705
diffusion,2017-08-21 12:00:00,16,0.24771030385272752,0.058823529411764705
diffusion,2017-09-20 12:00:00,0,0.2757870646912579,0.058823529411764705
diffusion,2017-09-20 12:00:00,1,0.055377685524774733,0.058823529411764705
diffusion,2017-09-20 12:00:00,2,0.03994690001837853,0.058823529411764705
diffusion,2017-09-20 12:00:00,3,0.032940635955412745,0.058823529411764705
diffusion,2017-09-20 12:00:00,4,0.02872774225397734,0.058823529411764705
diffusion,2017-09-20 12:00:00,5,0.025827449146106574,0.058823529411764705
diffusion,2017-09-20 12:00:00,6,0.024545843266025713,0.058823529411764705
diffusion,2017-09-20 12:00:00,7,0.024323102075356928,0.058823529411764705
diffusion,2017-09-20 12:00:00,8,0.02409595331386072,0.058823529411764705
diffusion,2017-09-20 12:00:00,9,0.0248603022429279,0.058823529411764705
diffusion,2017-09-20 12:00:00,10,0.02506008562761508,0.058823529411764705
diffusion,2017-09-20 12:00:00,11,0.025473191778075943,0.058823529411764705
diffusion,2017-09-20 12:00:00,12,0.026629455637021238,0.058823529411764705
diffusion,2017-09-20 12:00:00,13,0.030066029893419,0.058823529411764705
diffusion,2017-09-20 12:00:00,14,0.03741715447995375,0.058823529411764705
diffusion,2017-09-20 12:00:00,15,0.05466682247515564,0.058823529411764705
diffusion,2017-09-20 12:00:00,16,0.24425459170925023,0.058823529411764705
diffusion,2017-10-20 12:00:00,0,0.28273957983856235,0.058823529411764705
diffusion,2017-10-20 12:00:00,1,0.06388143129595392,0.058823529411764705
diffusion,2017-10-20 12:00:00,2,0.04457630734304985,0.058823529411764705
diffusion,2017-10-20 12:00:00,3,0.03631533149422239,0.058823529411764705
diffusion,2017-10-20 12:00:00,4,0.03175022567631913,0.058823529411764705
diffusion,2017-10-20 12:00:00,5,0.027347085421581596,0.058823529411764705
diffusion,2017-10-20 12:00:00,6,0.02531720648812552,0.058823529411764705
diffusion,2017-10-20 12:00:00,7,0.024962859001163906,0.058823529411764705
diffusion,2017-10-20 12:00:00,8,0.022806183176214745,0.058823529411764705
diffusion,2017-10-20 12:00:00,9,0.021851448178097144,0.058823529411764705
diffusion,2017-10-20 12:00:00,10,0.02397269087754239,0.058823529411764705
diffusion,2017-10-20 12:00:00,11,0.024377049663144135,0.058823529411764705
diffusion,2017-10-20 12:00:00,12,0.026085755963777046,0.058823529411764705
diffusion,2017-10-20 12:00:00,13,0.029099479136220907,0.058823529411764705
diffusion,2017-10-20 12:00:00,14,0.03610489340780987,0.058823529411764705
diffusion,2017-10-20 12:00:00,15,0.050366233717795694,0.058823529411764705
diffusion,2017-10-20 12:00:00,16,0.2284462494089894,0.058823529411764705
diffusion,2017-11-19 12:00:00,0,0.29126925431557993,0.058823529411764705
diffusion,2017-11-19 12:00:00,1,0.06001823595846645,0.058823529411764705
diffusion,2017-11-19 12:00:00,2,0.04291380981266002,0.058823529411764705
diffusion,2017-11-19 12:00:00,3,0.03635877939694865,0.058823529411764705
diffusion,2017-11-19 12:00:00,4,0.030357017283051846,0.058823529411764705
diffusion,2017-11-19 12:00:00,5,0.027100820696773553,0.058823529411764705
diffusion,2017-11-19 12:00:00,6,0.024515264308661244,0.058823529411764705
diffusion,2017-11-19 12:00:00,7,0.02330854685021677,0.058823529411764705
diffusion,2017-11-19 12:00:00,8,0.02389086527591644,0.058823529411764705
diffusion,2017-11-19 12:00:00,9,0.02305196235022322,0.058823529411764705
diffusion,2017-11-19 12:00:00,10,0.02315250262245172,0.058823529411764705
diffusion,2017-11-19 12:00:00,11,0.024687744883976848,0.058823529411764705
diffusion,2017-11-19 12:00:00,12,0.027025462459732807,0.058823529411764705
diffusion,2017-11-19 12:00:00,13,0.028414651842922467,0.058823529411764705
diffusion,2017-11-19 12:00:00,14,0.03705476347931835,0.058823529411764705
diffusion,2017-11-19 12:00:00,15,0.04984190437335201,0.058823529411764705
diffusion,2017-11-19 12:00:00,16,0.22703842417831765,0.058823529411764705
diffusion,2017-12-19 12:00:00,0,0.308435335676279,0.058823529411764705
diffusion,2017-12-19 12:00:00,1,0.06296881048962177,0.058823529411764705
diffusion,2017-12-19 12:00:00,2,0.04300857229634403,0.058823529411764705
diffusion,2017-12-19 12:00:00,3,0.03341552599084707,0.058823529411764705
diffusion,2017-12-19 12:00:00,4,0.027937717423355934,0.058823529411764705
diffusion,2017-12-19 12:00:00,5,0.02583617945487049,0.058823529411764705
diffusion,2017-12-19 12:00:00,6,0.022523000236162716,0.058823529411764705
diffusion,2017-12-19 12:00:00,7,0.022605854420987725,0.058823529411764705
diffusion,2017-12-19 12:00:00,8,0.021840926506797587,0.058823529411764705
diffusion,2017-12-19 12:00:00,9,0.022468832543381723,0.058823529411764705
diffusion,2017-12-19 12:00:00,10,0.021549975233938312,0.058823529411764705
diffusion,2017-12-19 12:00:00,11,0.023342927339399466,0.058823529411764705
diffusion,2017-12-19 12:00:00,12,0.02364152992322488,0.058823529411764705
diffusion,2017-12-19 12:00:00,13,0.026401901131066552,0.058823529411764705
diffusion,2017-12-19 12:00:00,14,0.03270560724195093,0.058823529411764705
diffusion,2017-12-19 12:00:00,15,0.047004827536511584,0.058823529411764705
diffusion,2017-12-19 12:00:00,16,0.2343124866438302,0.058823529411764705
diffusion,2018-01-18 12:00:00,0,0.304322974850777,0.058823529411764705
diffusion,2018-01-18 12:00:00,1,0.06373036257730291,0.058823529411764705
diffusion,2018-01-18 12:00:00,2,0.043311569013496864,0.058823529411764705
diffusion,2018-01-18 12:00:00,3,0.033414164406735836,0.058823529411764705
diffusion,2018-01-18 12:00:00,4,0.027825085785366355,0.058823529411764705
diffusion,2018-01-18 12:00:00,5,0.025116062841789244,0.058823529411764705
diffusion,2018-01-18 12:00:00,6,0.024505766445599875,0.058823529411764705
diffusion,2018-01-18 12:00:00,7,0.022662809588382515,0.058823529411764705
diffusion,2018-01-18 12:00:00,8,0.022385854815183848,0.058823529411764705
diffusion,2018-01-18 12:00:00,9,0.022597993982344633,0.058823529411764705
diffusion,2018-01-18 12:00:00,10,0.022978348415563232,0.058823529411764705
diffusion,2018-01-18 12:00:00,11,0.02396699595010432,0.058823529411764705
diffusion,2018-01-18 12:00:00,12,0.025282943136062386,0.058823529411764705
diffusion,2018-01-18 12:00:00,13,0.026819820563105168,0.058823529411764705
diffusion,2018-01-18 12:00:00,14,0.03264756161615878,0.058823529411764705
diffusion,2018-01-18 12:00:00,15,0.0474271985899577,0.058823529411764705
diffusion,2018-01-18 12:00:00,16,0.23100449751063934,0.058823529411764705
diffusion,2018-02-17 12:00:00,0,0.28987103415522597,0.058823529411764705
diffusion,2018-02-17 12:00:00,1,0.06284166379720091,0.058823529411764705
diffusion,2018-02-17 12:00:00,2,0.04249808472059158,0.058823529411764705
diffusion,2018-02-17 12:00:00,3,0.03310677344910573,0.058823529411764705
