run,field,zonal_wavenumber,power
deterministic,sample0,18,4.380688787533153e-06
deterministic,sample0,19,4.260836191778593e-06
deterministic,sample0,20,4.0225202962381975e-06
deterministic,sample0,21,3.97470998017292e-06
deterministic,sample0,22,3.905849806366189e-06
deterministic,sample0,23,3.935535720415105e-06
deterministic,sample0,24,3.655161725230447e-06
deterministic,sample0,25,3.4453435955326183e-06
deterministic,sample0,26,3.5830453161015824e-06
deterministic,sample0,27,3.426527590875427e-06
deterministic,sample0,28,3.3671405326510392e-06
deterministic,sample0,29,3.2625035190010705e-06
deterministic,sample0,30,3.385559386642562e-06
deterministic,sample0,31,3.1319738757794686e-06
deterministic,sample0,32,3.2416680671876535e-06
deterministic,sample0,33,3.146928284976985e-06
deterministic,sample0,34,3.094755319754279e-06
deterministic,sample0,35,2.995641139688975e-06
deterministic,sample0,36,3.0136825425291597e-06
deterministic,sample0,37,3.0955960050198204e-06
deterministic,sample0,38,3.027271988705952e-06
deterministic,sample0,39,2.995016421524758e-06
deterministic,sample0,40,2.818385478894693e-06
deterministic,sample0,41,2.9680781904735735e-06
deterministic,sample0,42,2.746696509770209e-06
deterministic,sample0,43,2.832179337429911e-06
deterministic,sample0,44,2.7542188109680406e-06
deterministic,sample0,45,2.686892270373879e-06
deterministic,sample0,46,2.8055304025562385e-06
deterministic,sample0,47,2.7737872801795943e-06
deterministic,sample0,48,2.762444083865906e-06
deterministic,sample0,49,2.6992852469667032e-06
deterministic,sample0,50,2.6566471694013077e-06
deterministic,sample0,51,2.6546900476121814e-06
deterministic,sample0,52,2.5304545925213147e-06
deterministic,sample0,53,2.5673776885163146e-06
deterministic,sample0,54,2.605029221097352e-06
deterministic,sample0,55,2.6509155268757144e-06
deterministic,sample0,56,2.498085054688795e-06
deterministic,sample0,57,2.4286565988239327e-06
deterministic,sample0,58,2.5586740786904982e-06
deterministic,sample0,59,2.5234580526504793e-06
deterministic,sample0,60,2.4699705820916166e-06
deterministic,sample0,61,2.40189057272104e-06
deterministic,sample0,62,2.51816725333603e-06
deterministic,sample0,63,2.4635962500241855e-06
deterministic,sample0,64,2.433074756214762e-06
deterministic,sample0,65,2.344647453905796e-06
deterministic,sample0,66,2.4175275898467443e-06
deterministic,sample0,67,2.3827715146752467e-06
deterministic,sample0,68,2.2899019791488207e-06
deterministic,sample0,69,2.259388175416488e-06
deterministic,sample0,70,2.2491816215470805e-06
deterministic,sample0,71,2.2148887872322614e-06
deterministic,sample0,72,2.1416534359347186e-06
deterministic,sample0,73,2.102168679470156e-06
deterministic,sample0,74,2.072394601770076e-06
deterministic,sample0,75,2.0179493238021013e-06
deterministic,sample0,76,1.978765030902751e-06
deterministic,sample0,77,1.9948618702132788e-06
deterministic,sample0,78,1.9221819109587035e-06
deterministic,sample0,79,1.909774050240348e-06
deterministic,sample0,80,1.9186244456300042e-06
deterministic,sample0,81,1.8404157839793587e-06
deterministic,sample0,82,1.7319626339523007e-06
deterministic,sample0,83,1.6787015430648549e-06
deterministic,sample0,84,1.6455371383897292e-06
deterministic,sample0,85,1.68048427706638e-06
deterministic,sample0,86,1.6172950237505034e-06
deterministic,sample0,87,1.6052081847749845e-06
deterministic,sample0,88,1.5685509099471205e-06
deterministic,sample0,89,1.5995198466868271e-06
deterministic,sample0,90,1.5503130291689426e-06
deterministic,sample0,91,1.4426714581989873e-06
deterministic,sample0,92,1.4266832846029443e-06
deterministic,sample0,93,1.391680758449728e-06
deterministic,sample0,94,1.3336931247823923e-06
deterministic,sample0,95,1.2843374417406144e-06
deterministic,sample0,96,1.1654213218488073e-06
deterministic,sample0,97,1.1863722637039802e-06
deterministic,sample0,98,1.1393812611039584e-06
deterministic,sample0,99,1.1151714487308788e-06
deterministic,sample0,100,1.104630845417831e-06
deterministic,sample0,101,1.0862778445904685e-06
deterministic,sample0,102,1.0591899089979634e-06
deterministic,sample0,103,1.048184383714907e-06
deterministic,sample0,104,9.965001593602187e-07
deterministic,sample0,105,9.870546479500861e-07
deterministic,sample0,106,9.169408126608801e-07
deterministic,sample0,107,8.959742533961891e-07
deterministic,sample0,108,8.631184262968727e-07
deterministic,sample0,109,8.430180197234934e-07
deterministic,sample0,110,8.170943915970095e-07
deterministic,sample0,111,7.97259644725669e-07
deterministic,sample0,112,7.657937059279417e-07
deterministic,sample0,113,7.543765209025653e-07
deterministic,sample0,114,7.321555172894497e-07
deterministic,sample0,115,7.103436487327224e-07
deterministic,sample0,116,6.723771182080569e-07
deterministic,sample0,117,6.804443906551769e-07
deterministic,sample0,118,6.438788019131409e-07
deterministic,sample0,119,6.246373948263743e-07
deterministic,sample0,120,6.133336107142588e-07
deterministic,sample0,121,5.811338354977256e-07
deterministic,sample0,122,5.758701594897517e-07
deterministic,sample0,123,5.503242999784067e-07
deterministic,sample0,124,5.398982654361725e-07
deterministic,sample0,125,5.097155405411156e-07
deterministic,sample0,126,5.113207254351196e-07
deterministic,sample0,127,4.862675224595567e-07
deterministic,sample0,128,4.772476347064021e-07
deterministic,sample0,129,4.6325631045527877e-07
deterministic,sample0,130,4.57969912926576e-07
deterministic,sample0,131,4.3291226891476456e-07
deterministic,sample0,132,4.22832951721152e-07
deterministic,sample0,133,4.146793369854824e-07
deterministic,sample0,134,4.054304256448483e-07
deterministic,sample0,135,3.938199949264585e-07
deterministic,sample0,136,3.7418707616741196e-07
deterministic,sample0,137,3.7944919791326507e-07
