index,date,members,mean_mse,sample_mse,d_mse,climatology_mse,crps,d_mae,spread_variance,coverage90,anomaly_correlation,mean_anomaly_m2,sample_anomaly_m2,truth_anomaly_m2
138,2016-09-24 12:00:00,1,0.0013161348151136986,0.0013161348151136986,0.0018428418613253084,0.00275635846607473,0.023758298284832335,0.03033560811928271,0.0,0.0,0.7258181268975007,0.0014377917488467673,0.0014377917488467673,0.00275635846607473
144,2016-10-24 12:00:00,1,0.0013147042224649136,0.0013147042224649136,0.001868959749969845,0.00281213319490932,0.023520358540313424,0.030532178410308308,0.0,0.0,0.7311456399103456,0.0014894087775432089,0.0014894087775432089,0.00281213319490932
150,2016-11-23 12:00:00,1,0.0014123907373566763,0.0014123907373566763,0.0020471559487905866,0.0028125013526639066,0.024517964986038532,0.03172190883565795,0.0,0.0,0.7054996194626524,0.0014212451421318157,0.0014212451421318157,0.0028125013526639066
156,2016-12-23 12:00:00,1,0.0014419544842213812,0.0014419544842213812,0.0019271905032143242,0.0027959497107124896,0.025007614038369486,0.031106959927635014,0.0,0.0,0.6954257705970474,0.0013911341938716967,0.0013911341938716967,0.0027959497107124896
162,2017-01-23 12:00:00,1,0.0013227597811198916,0.0013227597811198916,0.0018196329341755018,0.0027929421522618555,0.023653288192396538,0.030098545484321226,0.0,0.0,0.7257074698042233,0.0014826738560244342,0.0014826738560244342,0.0027929421522618555
168,2017-02-22 12:00:00,1,0.0014060624990063742,0.0014060624990063742,0.0018889211837965153,0.002788361023866524,0.023846571964478036,0.030310787503945225,0.0,0.0,0.7041061120872225,0.0014894677951985242,0.0014894677951985242,0.002788361023866524
174,2017-03-24 12:00:00,1,0.0013213794237372381,0.0013213794237372381,0.001770341950529029,0.0027903538065215967,0.023275240763663385,0.029315046236977782,0.0,0.0,0.7250448780278815,0.0014578370252155126,0.0014578370252155126,0.0027903538065215967
180,2017-04-23 12:00:00,1,0.001364336899599899,0.001364336899599899,0.001869106708615521,0.002832118633933093,0.023337806150829143,0.029922727288396844,0.0,0.0,0.7194642847859005,0.0014389025454307383,0.0014389025454307383,0.002832118633933093
186,2017-05-23 12:00:00,1,0.001267025685472592,0.001267025685472592,0.0018580615075838441,0.0028165951170087966,0.02302784567243954,0.03064456731899079,0.0,0.0,0.7416084126528452,0.0014789546898528651,0.0014789546898528651,0.0028165951170087966
192,2017-06-22 12:00:00,1,0.0012171359770808267,0.0012171359770808267,0.0017997141242110037,0.0027506433555879823,0.02248837574048812,0.029706488079735527,0.0,0.0,0.746931597207646,0.00153270642461359,0.00153270642461359,0.0027506433555879823
198,2017-07-22 12:00:00,1,0.0011717460136112894,0.0011717460136112894,0.0017394500722226836,0.0028600349216854333,0.02225492193581413,0.029258197913312856,0.0,0.0,0.7682551702148271,0.0016237542729720328,0.0016237542729720328,0.0028600349216854333
204,2017-08-21 12:00:00,1,0.0012641489260715362,0.0012641489260715362,0.001834388518989564,0.0028817056426443223,0.023066800432753665,0.02999930265141515,0.0,0.0,0.7490177472497173,0.0015317181130841027,0.0015317181130841027,0.0028817056426443223
210,2017-09-20 12:00:00,1,0.0013660794427124937,0.0013660794427124937,0.0018877719788971802,0.0029210392705326894,0.023901724190745766,0.03034854020146227,0.0,0.0,0.7293899522370663,0.0014935856818390392,0.0014935856818390392,0.0029210392705326894
216,2017-10-20 12:00:00,1,0.0013728386036254156,0.0013728386036254156,0.0018985856761499712,0.0030164464626849415,0.023629122767330868,0.03018465016713967,0.0,0.0,0.7385010466070879,0.0015662557367884403,0.0015662557367884403,0.0030164464626849415
222,2017-11-19 12:00:00,1,0.0013822247527910054,0.0013822247527910054,0.0018450374586212663,0.0029806520205391362,0.023978864919563136,0.0301737919735221,0.0,0.0,0.7334626491185573,0.0014344765725776544,0.0014344765725776544,0.0029806520205391362
228,2017-12-19 12:00:00,1,0.001446055977068753,0.001446055977068753,0.0019502898261471164,0.0029720996128533984,0.02502690252294415,0.03131416385109631,0.0,0.0,0.7176173999388094,0.0013818558924452845,0.0013818558924452845,0.0029720996128533984
234,2018-01-18 12:00:00,1,0.0014090057703681825,0.0014090057703681825,0.001874359748332677,0.0030311641075777295,0.02423955139085754,0.030289356441505877,0.0,3.149165786453523e-05,0.7319755636321486,0.0014946306690533928,0.0014946306690533928,0.0030311641075777295
240,2018-02-17 12:00:00,1,0.0014326890636324383,0.0014326890636324383,0.0019415967831359147,0.0030330721109025475,0.02424375464780293,0.030529938082282104,0.0,0.0,0.7270219554864656,0.0014763490135312834,0.0014763490135312834,0.0030330721109025475
246,2018-03-19 12:00:00,1,0.0014412287075792293,0.0014412287075792293,0.0020291871805204666,0.003011538629411971,0.024449777643637205,0.03155342718564014,0.0,0.0,0.7231041861179476,0.0013806426346541687,0.0013806426346541687,0.003011538629411971
252,2018-04-18 12:00:00,1,0.0014468476801790448,0.0014468476801790448,0.0019834414717397227,0.003006183948177328,0.024384971928445243,0.031167710332071996,0.0,0.0,0.7218741097876823,0.0013645351473984086,0.0013645351473984086,0.003006183948177328
258,2018-05-18 12:00:00,1,0.0014793799916864073,0.0014793799916864073,0.0019982080638148952,0.0030019229671423772,0.024796272905369232,0.030943727725480485,0.0,0.0,0.7131699385212714,0.001339215753578466,0.001339215753578466,0.0030019229671423772
264,2018-06-17 12:00:00,1,0.0014445039532521864,0.0014445039532521864,0.0019699292390370463,0.002948808716737876,0.02455666084051944,0.031032767555040808,0.0,0.0,0.7146127704564823,0.0013554706678739921,0.0013554706678739921,0.002948808716737876
270,2018-07-17 12:00:00,1,0.0014531869257904573,0.0014531869257904573,0.001982686654664003,0.0029245320852603605,0.02398422532706923,0.03042504423328163,0.0,0.0,0.7100246974646123,0.001330432778902022,0.001330432778902022,0.0029245320852603605
276,2018-08-16 12:00:00,1,0.0014932218567297838,0.0014932218567297838,0.0020172644431615413,0.002867900663635518,0.024778809971108373,0.030897885541623538,0.0,0.0,0.692975339330879,0.0012773119709802634,0.0012773119709802634,0.002867900663635518
282,2018-09-15 12:00:00,1,0.0015808389525774544,0.0015808389525774544,0.002144863892711958,0.0029473356173254413,0.025818042134263752,0.032071135818120045,0.0,0.0,0.6809989713597016,0.00126359493296182,0.00126359493296182,0.0029473356173254413
288,2018-10-15 12:00:00,1,0.001550046139621103,0.001550046139621103,0.002090075836027541,0.0029501747881007906,0.025756816188500453,0.03184322206989765,0.0,0.0,0.6901667726753379,0.0012673090638969239,0.0012673090638969239,0.0029501747881007906
294,2018-11-14 12:00:00,1,0.0015292173570386372,0.0015292173570386372,0.002046252182394309,0.00294738667228123,0.02592418295829768,0.03218892212085622,0.0,0.0,0.6949707705379631,0.0013152906518653488,0.0013152906518653488,0.00294738667228123
300,2018-12-14 12:00:00,1,0.0014855311770707632,0.0014855311770707632,0.0019914629547246676,0.0028651467405845133,0.025751891693876816,0.031857358856770546,0.0,0.0,0.6957595830317607,0.0013350278420215253,0.0013350278420215253,0.0028651467405845133
306,2019-01-13 12:00:00,1,0.0014765881287141284,0.0014765881287141284,0.0019656724735489044,0.0028977036427815907,0.025462236830120943,0.031424048242126856,0.0,0.0,0.7003211754198436,0.0013942953855837865,0.0013942953855837865,0.0028977036427815907
312,2019-02-12 12:00:00,1,0.0015321335786417593,0.0015321335786417593,0.0019797125863907903,0.002955838141040615,0.0261184495157869,0.031633867642882896,0.0,0.0,0.6941389446278047,0.0013215058901414854,0.0013215058901414854,0.002955838141040615
318,2019-03-14 12:00:00,1,0.0015251112973488897,0.0015251112973488897,0.0020086991546383335,0.0029413331470645983,0.026416806785814373,0.03213518330908616,0.0,0.0,0.6938684722497906,0.0013513448185339502,0.0013513448185339502,0.0029413331470645983
324,2019-04-13 12:00:00,1,0.0017040621961468287,0.0017040621961468287,0.002097741807898324,0.002937671242070508,0.027103707738405314,0.031949156826023506,0.0,0.0,0.6471264462255334,0.0012183344804581136,0.0012183344804581136,0.002937671242070508
330,2019-05-13 12:00:00,1,0.0015631324849976248,0.0015631324849976248,0.00209208946221961,0.002926386223264851,0.025831101027463665,0.032248599915412735,0.0,0.0,0.6823080479699579,0.0012424837087432023,0.0012424837087432023,0.002926386223264851
336,2019-06-12 12:00:00,1,0.001514867518604868,0.001514867518604868,0.002019630535906188,0.002929560530011455,0.025524987150024714,0.03152749433197832,0.0,0.0,0.6954367852714542,0.001267704974001331,0.001267704974001331,0.002929560530011455
342,2019-07-12 12:00:00,1,0.0014739847943629958,0.0014739847943629958,0.0019488696552668297,0.0028892760621207856,0.02516527976510985,0.031092735958185624,0.0,0.0,0.6994252553487419,0.001352763935527535,0.001352763935527535,0.0028892760621207856
348,2019-08-11 12:00:00,1,0.0014772503208585893,0.0014772503208585893,0.0019908168050777825,0.002850210589848832,0.025172579324468813,0.031247640903337093,0.0,0.0,0.6944113955909407,0.0012444944074722101,0.0012444944074722101,0.002850210589848832
354,2019-09-10 12:00:00,1,0.0014925528728710205,0.0014925528728710205,0.0020074590812855764,0.002946488760811075,0.025045245208658695,0.031140147428419418,0.0,0.0,0.7034109282110917,0.0013221322501380762,0.0013221322501380762,0.002946488760811075
