candidate,reader,workload,median_wall_seconds,median_process_cpu_seconds,byte_metrics_valid
B,tensorstore,halo_32_784,0.21768362307921052,0.42222272699999763,False
B,tensorstore,union_1472,0.7229967848397791,1.3679822950000045,False
B,tensorstore,misaligned_720,0.16791469999589026,0.35827379599999887,False
B,tensorstore,shallow_17_halo,0.0582275481428951,0.13633477700000185,False
B,tensorstore,point_series,0.0006509891245514154,0.0027942210000020395,False
B,tensorstore,pair_aligned,0.3653497910127044,0.7615426070000026,False
B,tensorstore,pair_offset,0.3585964129306376,0.7039606370000016,False
B,tensorstore,independent_four_752,0.7238664671313018,1.476361640999997,False
C,zarr-python,aligned_720,0.2620660199318081,,False
C,zarr-python,halo_16_752,0.27416693000122905,,False
C,zarr-python,halo_32_784,0.3023310429416597,,False
C,zarr-python,union_1472,0.9604946509934962,,False
C,zarr-python,misaligned_720,0.24264758895151317,,False
C,zarr-python,shallow_17_halo,0.0947736210655421,,False
C,zarr-python,point_series,0.007927033118903637,,False
C,zarr-python,pair_aligned,0.4749789978377521,,False
C,zarr-python,pair_offset,0.5007900199852884,,False
C,zarr-python,independent_four_752,1.0338264210149646,,False
C,zarrs,aligned_720,0.21467286115512252,0.3581497289999973,False
C,zarrs,halo_16_752,0.2878189270850271,0.44224907599999597,False
C,zarrs,halo_32_784,0.3007422471418977,0.4541150129999991,False
C,zarrs,union_1472,0.9835951558779925,1.451691261999997,False
C,zarrs,misaligned_720,0.2512695430777967,0.3597882830000003,False
C,zarrs,shallow_17_halo,0.09987764991819859,0.24078132799999707,False
C,zarrs,point_series,0.008003156865015626,0.02342019199999612,False
C,zarrs,pair_aligned,0.5006356309168041,0.6609133469999975,False
C,zarrs,pair_offset,0.5375291029922664,0.6857912169999949,False
C,zarrs,independent_four_752,1.0820226569194347,1.6357274639999986,False
C,tensorstore,aligned_720,0.1948920739814639,0.3939280949999997,False
C,tensorstore,halo_16_752,0.21486887708306313,0.4529121169999968,False
