candidate,reader,workload,trial,wall_seconds,process_cpu_seconds,byte_metrics_valid,observed_data_returned_bytes,observed_data_calls,observed_unique_data_objects
B,zarr-python,independent_four_752,0,1.1759618460200727,,False,195929966,36,16
B,zarr-python,independent_four_752,1,1.1651619479525834,,False,195929966,36,16
B,zarr-python,independent_four_752,2,1.18428662000224,,False,195929966,36,16
B,zarrs,aligned_720,0,0.22692491486668587,0.37601920499999864,False,,,
B,zarrs,aligned_720,1,0.21995663503184915,0.38334843799999874,False,,,
B,zarrs,aligned_720,2,0.19545830693095922,0.34313111700000576,False,,,
B,zarrs,halo_16_752,0,0.33784749498590827,0.4712527530000017,False,,,
B,zarrs,halo_16_752,1,0.3624672961886972,0.4947486880000014,False,,,
B,zarrs,halo_16_752,2,0.35452413419261575,0.4855086080000035,False,,,
B,zarrs,halo_32_784,0,0.39341511484235525,0.5217345300000034,False,,,
B,zarrs,halo_32_784,1,0.39422750705853105,0.5258392539999974,False,,,
B,zarrs,halo_32_784,2,0.4016217449679971,0.5294679200000019,False,,,
B,zarrs,union_1472,0,1.2523262449540198,1.6700218850000041,False,,,
B,zarrs,union_1472,1,1.2095562529284507,1.6261830270000033,False,,,
B,zarrs,union_1472,2,1.2078111348673701,1.6182771590000016,False,,,
B,zarrs,misaligned_720,0,0.292583875823766,0.39539509000000095,False,,,
B,zarrs,misaligned_720,1,0.2845981859136373,0.3854775799999999,False,,,
B,zarrs,misaligned_720,2,0.2917029932141304,0.39791396500000076,False,,,
B,zarrs,shallow_17_halo,0,0.12044764496386051,0.17414489400000122,False,,,
B,zarrs,shallow_17_halo,1,0.1019924997817725,0.1567728910000028,False,,,
B,zarrs,shallow_17_halo,2,0.10644812998361886,0.16274419900000225,False,,,
B,zarrs,point_series,0,0.0030077279079705477,0.005369295999997803,False,,,
B,zarrs,point_series,1,0.0015601369086652994,0.0037593500000028257,False,,,
B,zarrs,point_series,2,0.0016077850013971329,0.004788668999999857,False,,,
B,zarrs,pair_aligned,0,0.5795577671378851,0.7478134420000018,False,,,
B,zarrs,pair_aligned,1,0.5911867541726679,0.7582436120000011,False,,,
B,zarrs,pair_aligned,2,0.5774775801692158,0.7430323400000063,False,,,
B,zarrs,pair_offset,0,0.5789998029358685,0.7470262949999977,False,,,
B,zarrs,pair_offset,1,0.5918115780223161,0.7614609219999977,False,,,
B,zarrs,pair_offset,2,0.5853353522252291,0.7492090860000005,False,,,
B,zarrs,independent_four_752,0,1.3430076390504837,1.825335025000001,False,,,
B,zarrs,independent_four_752,1,1.3872978661675006,1.865233791999998,False,,,
B,zarrs,independent_four_752,2,1.4112746231257915,1.8870174000000048,False,,,
B,tensorstore,aligned_720,0,0.1990931979380548,0.37233046200000075,False,,,
B,tensorstore,aligned_720,1,0.20473008905537426,0.3861561499999979,False,,,
B,tensorstore,aligned_720,2,0.20040828990750015,0.4051470620000046,False,,,
B,tensorstore,halo_16_752,0,0.20868667610920966,0.37235024999999666,False,,,
B,tensorstore,halo_16_752,1,0.2023050501011312,0.39016629599999675,False,,,
B,tensorstore,halo_16_752,2,0.2011962509714067,0.38620942000000014,False,,,
B,tensorstore,halo_32_784,0,0.22207995294593275,0.42065314500000284,False,,,
B,tensorstore,halo_32_784,1,0.21768362307921052,0.42222272699999763,False,,,
B,tensorstore,halo_32_784,2,0.21756741404533386,0.42426592400000374,False,,,
B,tensorstore,union_1472,0,0.7229967848397791,1.358655362999997,False,,,
B,tensorstore,union_1472,1,0.7433868059888482,1.3679822950000045,False,,,
B,tensorstore,union_1472,2,0.7060353679116815,1.389510160999997,False,,,
B,tensorstore,misaligned_720,0,0.17877366999164224,0.32571146299999754,False,,,
B,tensorstore,misaligned_720,1,0.16791469999589026,0.36295791899999585,False,,,
B,tensorstore,misaligned_720,2,0.1670915950089693,0.35827379599999887,False,,,
B,tensorstore,shallow_17_halo,0,0.0582275481428951,0.14434916199999748,False,,,
B,tensorstore,shallow_17_halo,1,0.05530272307805717,0.13633477700000185,False,,,
B,tensorstore,shallow_17_halo,2,0.05869522993452847,0.12668162800000005,False,,,
B,tensorstore,point_series,0,0.0011118389666080475,0.002947799000004636,False,,,
B,tensorstore,point_series,1,0.0005955670494586229,0.002761436000000117,False,,,
B,tensorstore,point_series,2,0.0006509891245514154,0.0027942210000020395,False,,,
B,tensorstore,pair_aligned,0,0.35732664191164076,0.6881962180000016,False,,,
B,tensorstore,pair_aligned,1,0.3653497910127044,0.7615426070000026,False,,,
B,tensorstore,pair_aligned,2,0.4013771768659353,0.765688406999999,False,,,
B,tensorstore,pair_offset,0,0.35999513207934797,0.7198604989999993,False,,,
B,tensorstore,pair_offset,1,0.3585964129306376,0.7039606370000016,False,,,
B,tensorstore,pair_offset,2,0.35599366086535156,0.6896670829999962,False,,,
B,tensorstore,independent_four_752,0,0.7238664671313018,1.4371771770000024,False,,,
B,tensorstore,independent_four_752,1,0.7498900031205267,1.5456030749999954,False,,,
B,tensorstore,independent_four_752,2,0.710744310868904,1.476361640999997,False,,,
C,zarr-python,aligned_720,0,0.27465552603825927,,False,62641977,1,1
C,zarr-python,aligned_720,1,0.2549472087994218,,False,62641977,1,1
C,zarr-python,aligned_720,2,0.2620660199318081,,False,62641977,1,1
C,zarr-python,halo_16_752,0,0.28137798397801816,,False,62646617,9,9
C,zarr-python,halo_16_752,1,0.27416693000122905,,False,62646617,9,9
C,zarr-python,halo_16_752,2,0.26418160181492567,,False,62646617,9,9
C,zarr-python,halo_32_784,0,0.3023310429416597,,False,62646617,9,9
C,zarr-python,halo_32_784,1,0.2932661878876388,,False,62646617,9,9
C,zarr-python,halo_32_784,2,0.3035614690743387,,False,62646617,9,9
C,zarr-python,union_1472,0,0.9711933941580355,,False,194285381,16,16
C,zarr-python,union_1472,1,0.9537469791248441,,False,194285381,16,16
C,zarr-python,union_1472,2,0.9604946509934962,,False,194285381,16,16
C,zarr-python,misaligned_720,0,0.24794308003038168,,False,62643717,4,4
C,zarr-python,misaligned_720,1,0.24264758895151317,,False,62643717,4,4
C,zarr-python,misaligned_720,2,0.22265884513035417,,False,62643717,4,4
C,zarr-python,shallow_17_halo,0,0.0952657419256866,,False,62646617,9,9
C,zarr-python,shallow_17_halo,1,0.0947736210655421,,False,62646617,9,9
C,zarr-python,shallow_17_halo,2,0.09361176216043532,,False,62646617,9,9
C,zarr-python,point_series,0,0.008627008879557252,,False,4640,8,8
C,zarr-python,point_series,1,0.007577659096568823,,False,4640,8,8
C,zarr-python,point_series,2,0.007927033118903637,,False,4640,8,8
C,zarr-python,pair_aligned,0,0.4811195919755846,,False,125268783,2,2
C,zarr-python,pair_aligned,1,0.4680952560156584,,False,125268783,2,2
C,zarr-python,pair_aligned,2,0.4749789978377521,,False,125268783,2,2
C,zarr-python,pair_offset,0,0.48129573883488774,,False,125220533,2,2
C,zarr-python,pair_offset,1,0.5007900199852884,,False,125220533,2,2
C,zarr-python,pair_offset,2,0.5144273149780929,,False,125220533,2,2
C,zarr-python,independent_four_752,0,0.9958443117793649,,False,194296981,36,16
C,zarr-python,independent_four_752,1,1.0338264210149646,,False,194296981,36,16
C,zarr-python,independent_four_752,2,1.0382812721654773,,False,194296981,36,16
C,zarrs,aligned_720,0,0.2106026872061193,0.3596927170000015,False,,,
C,zarrs,aligned_720,1,0.21467286115512252,0.35569638800000547,False,,,
C,zarrs,aligned_720,2,0.21650228602811694,0.3581497289999973,False,,,
C,zarrs,halo_16_752,0,0.2864385119173676,0.4424400149999954,False,,,
C,zarrs,halo_16_752,1,0.29626899398863316,0.44224907599999597,False,,,
C,zarrs,halo_16_752,2,0.2878189270850271,0.4342715939999948,False,,,
C,zarrs,halo_32_784,0,0.31619328702799976,0.46580573500000355,False,,,
C,zarrs,halo_32_784,1,0.27682537492364645,0.4301226939999978,False,,,
C,zarrs,halo_32_784,2,0.3007422471418977,0.4541150129999991,False,,,
C,zarrs,union_1472,0,0.9835951558779925,1.451691261999997,False,,,
C,zarrs,union_1472,1,1.0448126399423927,1.500825865000003,False,,,
C,zarrs,union_1472,2,0.9661991838365793,1.3898615609999965,False,,,
C,zarrs,misaligned_720,0,0.256519618909806,0.3623329269999971,False,,,
C,zarrs,misaligned_720,1,0.2512695430777967,0.3597882830000003,False,,,
C,zarrs,misaligned_720,2,0.2449857851024717,0.3557852300000022,False,,,
C,zarrs,shallow_17_halo,0,0.09886361914686859,0.24078132799999707,False,,,
C,zarrs,shallow_17_halo,1,0.09987764991819859,0.23870110200000028,False,,,
C,zarrs,shallow_17_halo,2,0.10370490909554064,0.24947402000000096,False,,,
C,zarrs,point_series,0,0.008050730219110847,0.024665643999995268,False,,,
C,zarrs,point_series,1,0.006102462997660041,0.019823194000004207,False,,,
C,zarrs,point_series,2,0.008003156865015626,0.02342019199999612,False,,,
C,zarrs,pair_aligned,0,0.4870454859919846,0.6376544839999951,False,,,
C,zarrs,pair_aligned,1,0.5175102150533348,0.6751577329999989,False,,,
C,zarrs,pair_aligned,2,0.5006356309168041,0.6609133469999975,False,,,
